Nazwa,Kurs(PLN),Zmiana(%),Otwarcie,Min,Max,Obrot(szt),Obrot(PLN)
11 bit studios SA,411.00,+0.74,413.50,408.00,413.50,1368,561754
4Fun Media SA,6.48,-4.42,6.78,6.40,6.78,5843,38136
AB SA,18.75,+1.35,18.60,18.60,18.75,587,10983
AC SA,40.20,+3.08,40.00,40.00,40.40,517,20778
Action SA w restrukturyzacji,3.33,+4.06,3.22,3.20,3.35,21110,68070
Adiuvo Investments SA,7.54,+4.72,7.12,7.10,7.68,1601,11860
Agora SA,9.90,-1.49,10.00,9.80,10.00,3878,38397
Agroton Plc,3.05,+0.02,3.05,3.05,3.07,1620,4941
Ailleron SA,7.40,0.00,7.40,7.40,7.40,170,1258
Airway Medix SA,0.68,+0.89,0.67,0.67,0.68,1516,1022
Alior Bank SA,40.58,-1.02,41.20,40.30,41.44,431733,17572741
Alta SA,2.34,-2.50,2.34,2.26,2.36,4976,11567
Altus TFI SA,1.94,-2.31,1.93,1.93,1.95,1919,3727
Alumetal SA,35.40,-2.21,36.20,35.20,36.20,1233,44182
Ambra SA,17.10,-1.16,17.30,17.05,17.30,1229,21178
Amica SA,114.20,-1.55,115.40,114.00,117.00,6111,700874
AmRest Holdings SE,43.65,+0.23,43.30,43.20,43.65,49323,2144978
Apator SA,22.10,-0.90,22.30,21.50,23.20,58241,1270565
Aplisens SA,10.40,0.00,10.40,10.20,10.40,99,1011
APS Energia SA,2.00,+0.25,2.00,2.00,2.00,21,42
Archicom SA,13.45,+1.89,13.00,13.00,13.45,965,12917
Arctic Paper SA,3.13,+0.32,3.12,3.08,3.14,7575,23599
Arcus SA,2.60,+5.69,2.46,2.46,2.60,40261,100151
Arteria SA,5.90,+2.61,5.80,5.80,6.20,8522,51104
Artifex Mundi SA,3.56,+3.04,3.50,3.40,3.56,4092,14059
ASBISc Enterprises PLC,2.42,-0.41,2.40,2.40,2.44,7546,18257
ASM Group SA,3.30,—,—,—,—,—,—
Asseco BS SA,27.60,0.00,28.00,27.60,28.00,3,84
Asseco Poland SA,51.80,-1.89,53.00,50.85,53.80,116420,6059710
Asseco South Eastern Europe SA,19.80,0.00,19.50,19.30,19.80,11173,219968
Astarta Holding NV,22.90,0.00,23.30,22.70,23.30,1671,38335
Atal SA,36.70,-0.54,36.70,36.50,36.70,1372,50332
Atende SA,3.46,0.00,3.38,3.38,3.46,13,44
Atlanta Poland SA,4.86,—,—,—,—,—,—
Atlantis SE,0.51,—,—,—,—,—,—
Atlas Estates Ltd.,1.46,+6.18,1.46,1.46,1.46,100,146
ATM Grupa SA,4.68,0.00,4.67,4.65,4.69,3378,15806
ATM SA,10.48,-0.19,10.90,10.48,10.90,3377,36118
Atrem SA,2.01,-6.51,2.15,2.00,2.15,557,1120
AUGA Group AB,2.09,+20.11,2.09,2.09,2.09,6,13
Auto Partner SA,4.07,-3.10,4.29,4.00,4.34,2172666,8838856
Awbud SA,0.72,-0.68,0.72,0.72,0.72,65,47
Baltic Bridge SA,0.05,—,—,—,—,—,—
Banco Santander SA,16.20,-2.99,16.60,16.20,16.60,340,5603
Bank Handlowy SA,51.40,-1.15,52.00,51.40,52.40,16149,835049
Bank Millennium SA,6.40,-1.39,6.53,6.26,6.59,795842,5096232
Bank Pekao SA,107.40,+0.05,107.50,106.65,108.20,822710,88295370
BBI Development SA,0.45,-4.26,0.46,0.44,0.47,48604,21576
Benefit Systems SA,696.00,+0.29,730.00,694.00,758.00,2299,1650728
Berling SA,3.96,—,—,—,—,—,—
Best SA,22.00,—,—,—,—,—,—
Betacom SA,10.50,+5.00,10.50,10.50,10.50,5,53
Biomed Lublin SA,0.98,+2.08,0.96,0.94,0.98,26604,25198
Bioton SA,4.37,+1.39,4.34,4.29,4.38,9715,41865
Biuro Inwestycji Kapitałowych SA,15.90,+0.63,16.00,15.80,16.00,65,1031
BNP Paribas Bank Polska SA,68.00,0.00,67.00,67.00,68.00,1384,92772
BoomBit SA,21.80,0.00,21.80,21.21,21.98,8030,173489
Boryszew SA,4.31,+1.41,4.25,4.25,4.32,179036,767996
Bowim SA,2.00,—,—,—,—,—,—
BOŚ SA,7.34,-0.54,7.36,7.16,7.36,22061,161143
Braster SA,1.28,+2.08,1.25,1.22,1.30,97975,123673
British Automotive Holding SA,1.60,-0.13,1.62,1.56,1.62,16595,26185
BSC Drukarnia Opakowań SA,35.40,-0.56,35.60,35.40,35.80,140,4990
Budimex SA,138.20,-1.29,140.00,135.40,143.00,3558,495697
Bumech SA,3.67,-5.17,3.87,3.48,3.88,42753,152109
Capital Park SA,6.02,0.00,6.02,6.02,6.02,5,30
