Nazwa,Kurs(PLN),Zmiana(%),Otwarcie,Min,Max,Obrot(szt),Obrot(PLN)
Capital Partners SA,1.38,—,—,—,—,—,—
CCC SA,141.70,-1.60,144.30,138.70,144.50,141938,20075840
CD Projekt SA,251.00,-0.40,254.00,249.00,254.70,173825,43724539
CDRL SA,19.00,-2.56,19.90,19.00,19.90,4001,77224
Celon Pharma SA,40.15,+0.38,40.70,39.60,40.70,10239,411082
Centrum Nowoczesnych Technologii SA,13.50,0.00,13.50,13.50,13.50,2,27
Ceramika Nowa Gala SA,0.73,-0.68,0.74,0.73,0.74,44664,33092
CEZ a.s.,86.70,-0.34,87.10,86.70,87.10,308,26712
CFI Holding SA,0.37,+1.67,0.36,0.36,0.37,38396,14009
Chemoservis-Dwory SA,0.33,—,—,—,—,—,—
CI Games SA,1.00,-0.99,1.02,0.99,1.04,752535,758645
Ciech SA,38.55,+2.80,37.55,37.55,40.05,173348,6707623
City Service SE,9.75,—,—,—,—,—,—
Coal Energy SA,0.43,0.00,0.41,0.40,0.43,7445,3008
Cognor Holding SA,1.75,-1.13,1.78,1.75,1.78,86120,152163
ComArch SA,179.00,0.00,181.00,179.00,182.00,768,137971
Comp SA,67.80,+0.30,68.80,67.60,68.80,242,16479
Comperia.pl SA,3.24,—,—,—,—,—,—
CPD SA,5.75,+0.88,5.70,5.70,5.75,1282,7362
CPI FIM SA,1.59,-0.63,1.59,1.59,1.59,185,294
Cyfrowy Polsat SA,27.70,-0.93,27.78,27.26,28.10,208894,5764569
Czerwona Torebka SA,0.40,0.00,0.40,0.40,0.40,8197,3279
DataWalk SA,44.40,+4.47,42.50,42.50,44.50,3511,153046
Decora SA,18.65,-1.84,19.10,18.50,19.10,930,17471
Dekpol SA,26.70,0.00,26.70,26.70,26.70,2,53
Delko SA,8.40,0.00,8.40,8.10,8.40,6697,56198
Develia SA,2.28,-1.30,2.31,2.28,2.35,249882,575517
DGA SA,6.84,0.00,6.84,6.84,6.84,31,212
Dino Polska SA,160.40,+0.44,160.00,157.70,161.40,122493,19571052
Dom Development SA,83.20,-0.48,83.60,80.80,83.60,928,75727
Drewex SA,0.57,0.00,0.57,0.57,0.57,412,235
Drop SA,0.10,0.00,0.10,0.10,0.10,911,91
Drozapol-Profil SA,1.40,+0.36,1.41,1.38,1.41,44,62
Dębica SA,89.20,0.00,89.00,89.00,91.80,1321,119150
Echo Investment SA,4.82,+0.84,4.86,4.82,4.90,1488311,7234158
ED Invest SA,2.10,—,—,—,—,—,—
Efekt SA,18.00,+3.45,18.00,18.00,18.00,5,90
Eko Export SA,3.87,-2.89,4.00,3.80,4.04,28184,108903
Elektrobudowa SA,8.58,0.00,8.50,8.20,8.62,30213,252363
Elektrociepłownia Będzin SA,16.10,-3.88,16.75,16.00,16.75,2472,40049
Elektrotim SA,3.69,-3.91,3.61,3.60,3.84,26956,102632
Elemental Holding SA,1.28,-1.23,1.30,1.28,1.30,13889,17899
Elkop SE,0.66,0.00,0.66,0.60,0.66,1189,714
Elzab SA,2.38,+3.48,2.30,2.30,2.38,1450,3347
EMC Instytut Medyczny SA,4.92,0.00,4.92,4.92,4.92,96,472
Enea SA,8.83,-2.27,9.04,8.80,9.07,251455,2234829
Enefi Plc.,1.50,—,—,—,—,—,—
Enel-Med SA,14.50,+0.69,14.50,14.20,14.90,2435,35324
Energa SA,6.85,-1.44,6.95,6.85,6.99,195598,1350481
Energoaparatura SA,1.16,+4.50,1.16,1.16,1.16,2,2
Energoinstal SA,1.01,+9.78,0.92,0.92,1.01,21019,19809
Enter Air SA,35.30,-0.56,35.00,32.40,35.70,69503,2403177
Erbud SA,15.00,-5.06,15.55,14.80,15.55,1976,30252
ERG SA,32.60,0.00,32.60,32.60,32.60,1,33
Ergis SA,2.61,-3.69,2.70,2.57,2.70,10026,26023
ES-System SA,2.66,-2.92,2.72,2.66,2.72,82,219
Esotiq&Henderson SA,14.65,-0.34,14.70,14.65,14.70,55,806
EuCO SA,2.45,0.00,2.45,2.40,2.51,8587,21225
Eurocash SA,22.60,-0.35,22.68,22.48,22.96,279356,6330230
Eurohold Bulgaria AD,5.85,-0.85,5.85,5.50,5.85,507,2861
Eurotel SA,20.70,0.00,20.70,20.50,20.70,1461,30039
Everest Investments SA,0.65,0.00,0.65,0.65,0.65,250,163
Famur SA,3.97,0.00,4.00,3.94,4.00,118979,472474
Fasing SA,14.85,+1.02,14.85,14.50,14.85,673,9950
Fast Finance SA w restrukturyzacji,0.09,—,—,—,—,—,—
Feerum SA,9.98,-0.20,9.62,9.62,9.98,364,3546
Fenghua SoleTech AG,17.50,—,—,—,—,—,—
Ferro SA,12.35,+1.65,12.10,12.10,12.35,4226,51727
Ferrum SA,3.54,—,—,—,—,—,—
Financial Assets Management Group SA,16.00,—,—,—,—,—,—
Fon SE,0.69,—,—,—,—,—,—
Forte SA,23.20,+3.11,22.25,22.10,23.55,6332,144924
GetBack SA w restrukturyzacji,3.75,—,—,—,—,—,—
Getin Holding SA,0.94,+2.16,0.93,0.93,1.01,784119,765222
Getin Noble Bank SA,0.34,+2.41,0.34,0.34,0.36,1869497,652772
Global Cosmed SA,1.44,-10.00,1.50,1.44,1.50,608,906
Globalworth Poland RE NV,6.72,0.00,6.72,6.72,6.72,100,672
Globe Trade Centre SA,9.35,-1.37,9.47,9.35,9.47,27275,255691
Gobarto SA,6.56,-4.37,6.56,6.56,6.56,477,3129
GPM Vindexus SA,8.18,-0.73,8.06,8.06,8.20,1222,9971
GPW SA,40.70,+0.62,40.45,40.10,40.70,52045,2099925
Groclin SA,1.78,-1.22,1.80,1.73,1.80,14031,24586
Grodno SA,3.72,-3.38,3.85,3.72,3.85,239,906
Grupa Azoty SA,37.50,-1.32,38.08,36.92,38.30,57413,2150624
Grupa Kapitałowa Immobile SA,2.70,-1.82,2.84,2.62,2.84,3645,9655
Grupa Kęty SA,302.50,-3.82,320.50,302.50,320.50,3127,955568
Grupa Lotos SA,84.70,-1.07,85.50,83.00,85.58,236239,19877879
Grupa Żywiec SA,482.00,-0.41,480.00,478.00,484.00,19,9146
Harper Hygienics SA,0.11,+6.47,0.11,0.11,0.11,205,22
Helio SA,10.70,+0.94,10.60,10.60,10.70,10611,112483
Herkules SA,1.32,0.00,1.32,1.32,1.32,16424,21680
HM Inwest SA,14.10,+0.71,14.00,14.00,14.10,485,6808
Hollywood SA,1.00,+1.01,1.00,1.00,1.00,73,73
HubStyle SA,0.34,+25.56,0.34,0.34,0.34,3000,1017
Hydrotor SA,35.20,0.00,35.20,35.20,35.20,17,598
i2 Development SA,6.10,+0.83,6.10,6.10,6.10,425,2593
IBSM SA,14.90,—,—,—,—,—,—
Idea Bank SA,2.11,+2.43,2.12,2.06,2.33,231236,507065
IDM SA w upadłości układowej,1.07,-6.96,1.05,1.05,1.07,57,61
iFirma SA,3.08,+0.65,3.06,3.05,3.08,2881,8804
IMC SA,15.50,+2.31,15.50,15.00,15.50,4531,69400
Immofinanz AG,107.00,+1.42,106.20,106.20,107.00,121,12927
Impel SA,6.85,+4.58,6.55,6.55,7.10,13326,91776
Impera Capital SA,1.10,-4.35,1.10,1.10,1.10,1,1
IMS SA,3.85,0.00,3.85,3.85,3.85,825,3176
INC SA,0.91,—,—,—,—,—,—
Indykpol SA,61.00,0.00,61.00,61.00,61.00,98,5978
ING BSK SA,190.80,+1.49,188.40,188.20,190.80,6800,1293948
Inpro SA,4.86,-0.82,4.90,4.66,4.90,14,66
Instal Kraków SA,17.00,+0.29,17.00,16.70,17.00,1412,23955
Inter Cars SA,214.00,+0.47,213.00,213.00,216.00,1283,275253
Inter Rao Lietuva AB,12.50,0.00,12.40,12.35,12.50,3131,39063
Interbud-Lublin SA,0.50,—,—,—,—,—,—
Interferie SA,4.06,—,—,—,—,—,—
Interma Trade SA,2.31,0.00,2.20,2.20,2.31,634,1421
International Personal Finance plc,7.00,-10.03,7.00,6.72,7.00,869,5963
Intersport Polska SA,2.02,-3.81,2.10,2.02,2.10,8518,17227
Introl SA,2.86,+2.14,2.86,2.86,2.86,50,143
Investment Friends Capital SE,0.66,—,—,—,—,—,—
Investment Friends SE,0.21,—,—,—,—,—,—
Invista SA,0.56,—,—,—,—,—,—
Ipopema Securities SA,1.57,+6.42,1.57,1.57,1.57,101,159
IQ Partners SA,0.26,—,—,—,—,—,—
Izoblok SA,28.00,+3.70,28.00,28.00,28.00,24,672
Izolacja Jarocin SA,1.56,0.00,1.56,1.45,1.56,5787,8424
Izostal SA,2.78,-2.11,2.84,2.78,2.84,2224,6275
J.W. Construction Holding SA,2.68,0.00,2.75,2.68,2.75,744,2020
Jastrzębska Spółka Węglowa SA,28.10,+0.21,28.26,27.70,28.70,296510,8340832
JHM Development SA,1.59,+1.27,1.59,1.50,1.59,106002,167771
JJ Auto AG,9.70,—,—,—,—,—,—
JWW Invest SA,1.07,0.00,1.07,1.07,1.07,460,492
K2 Internet SA,9.45,+2.72,9.45,9.45,9.45,5,47
KB Dom SA,0.58,—,—,—,—,—,—
KCI SA,0.40,+3.90,0.39,0.39,0.40,1478,571
KDM Shipping Public Ltd.,1.40,—,—,—,—,—,—
Kernel Holding SA,43.25,-0.80,43.80,43.15,44.35,22182,963817
KGHM SA,81.70,+2.66,80.90,80.14,82.94,1035029,85006786
Kino Polska TV SA,10.90,0.00,10.90,10.80,11.00,3383,36637
Kogeneracja SA,34.50,0.00,34.50,34.50,34.50,2,69
Kompap SA,6.10,—,—,—,—,—,—
Komputronik SA,2.78,+2.96,2.80,2.78,2.80,372,1034
Konsorcjum Stali SA,23.40,-4.10,25.00,23.30,25.30,635,15240
Korporacja KGL SA,12.35,+1.23,12.80,12.20,12.80,125,1532
KPPD SA,23.80,—,—,—,—,—,—
Krakchemia SA,0.46,+4.11,0.46,0.46,0.46,88,40
Kredyt Inkaso SA,7.85,—,—,—,—,—,—
Krezus SA,0.56,—,—,—,—,—,—
KRKA DD,270.00,+1.12,270.00,270.00,270.00,10,2700
Kruk SA,158.20,+0.51,156.20,156.20,158.80,23232,3668720
Kruszwica SA,40.60,-0.98,41.00,40.50,41.10,311,12675
Krynica Vitamin SA,4.19,+1.70,4.17,4.17,4.19,591,2468
Krynicki Recykling SA,4.11,+2.75,4.00,4.00,4.11,1175,4716
KSG Agro SA,0.98,—,—,—,—,—,—
Labo Print SA,9.90,+0.41,9.88,9.88,9.90,20,198
Larq SA,3.16,+1.94,3.08,3.08,3.16,2570,7916
Lena Lighting SA,3.19,0.00,3.20,3.18,3.21,6938,22194
Lentex SA,7.00,—,—,—,—,—,—
Libet SA,0.54,0.00,0.54,0.51,0.54,29505,15370
LiveChat Software SA,36.00,-1.37,36.45,35.50,36.50,4346,156871
Lokum Deweloper SA,13.70,+1.48,13.70,13.40,13.70,172,2326
LPP SA,7725.00,+5.82,7505.00,7505.00,7840.00,4406,33862300
LSI Software SA,13.30,-2.92,13.40,13.10,13.40,900,11940
Lubawa SA,0.83,-2.12,0.84,0.83,0.86,113195,95302
LW Bogdanka SA,40.30,+0.50,40.25,39.15,40.30,52194,2075235
Mabion SA,83.00,+2.47,82.80,82.70,84.70,2489,207603
Makarony Polskie SA,4.32,0.00,4.32,4.32,4.32,2517,10873
Mangata Holding SA,66.00,+1.54,66.00,66.00,66.00,1,66
Marie Brizard Wine & Spirits S.A.,10.80,-2.70,10.80,10.80,10.80,20,216
Marvipol Development SA,3.50,+1.45,3.44,3.44,3.50,20365,70865
Master Pharm SA,5.76,+1.05,5.78,5.42,5.78,9926,56716
Maxcom SA,18.00,-0.28,18.00,18.00,18.00,102,1836
mBank SA,330.80,+2.99,324.00,320.60,334.00,27503,8991678
MCI Capital SA,9.38,+1.74,9.22,9.22,9.38,1034,9614
MDI Energia SA,3.38,+0.60,3.60,3.38,3.60,3,10
Mediacap SA,1.96,—,—,—,—,—,—
Mediatel SA,0.74,—,—,—,—,—,—
Medicalgorithmics SA,30.80,-0.65,30.75,30.20,31.20,1280,39253
Megaron SA,13.00,—,—,—,—,—,—
Mennica Polska SA,22.80,+0.88,22.60,22.40,22.80,281,6340
Mercator Medical SA,6.24,-3.11,6.42,6.24,6.42,3511,21997
Mercor SA,8.00,+0.50,8.00,7.98,8.00,1759,14070
Mex Polska SA,3.16,+0.64,3.14,3.08,3.16,7261,22655
MFO SA,19.40,-0.26,19.05,19.00,19.60,9375,181902
Milkiland NV,0.45,—,—,—,—,—,—
Miraculum SA,1.23,0.00,1.23,1.23,1.23,1493,1836
Mirbud SA,0.85,-0.94,0.87,0.82,0.87,611726,512859
ML System SA,21.00,—,—,—,—,—,—
MLP Group SA,46.40,—,—,—,—,—,—
Mo-Bruk SA,105.00,-1.87,102.00,102.00,105.00,141,14514
MOJ SA,0.72,—,—,—,—,—,—
MOL Rt.,36.90,-3.30,38.00,36.90,38.00,10010,380369
Monnari Trade SA,4.49,-2.18,4.58,4.49,4.58,10778,48673
Mostostal Płock SA,6.20,-2.21,6.30,5.86,6.30,4139,25527
Mostostal Warszawa SA,4.34,-0.23,4.35,4.26,4.36,3059,13159
Mostostal Zabrze SA,0.43,—,—,—,—,—,—
Muza SA,2.72,—,—,—,—,—,—
MW Trade SA,3.72,0.00,3.72,3.72,3.72,400,1488
MZN Property SA,0.70,0.00,0.72,0.70,0.72,299,209
NanoGroup SA,3.10,—,—,—,—,—,—
Netia SA,4.54,+1.79,4.46,4.45,4.54,561040,2523495
Neuca SA,357.00,-0.56,360.00,355.00,360.00,438,156501
New World Resources Plc,0.02,—,—,—,—,—,—
Newag SA,18.85,+0.80,18.85,18.85,18.85,2,38
North Coast SA,5.72,+0.35,5.66,5.66,5.80,3211,18310
Novaturas AB,27.20,0.00,27.20,27.20,27.20,36,979
Novita SA,39.80,0.00,39.80,39.80,39.80,22,876
NTT System SA,2.16,+0.93,2.13,2.13,2.16,14977,32103
Octava SA,0.85,0.00,0.85,0.85,0.85,1,1
Odlewnie Polskie SA,3.26,+1.24,3.32,3.22,3.32,2031,6568
OEX SA,16.60,-3.49,17.20,16.60,17.20,813,13699
OncoArendi Therapeutics SA,10.10,+1.00,10.00,10.00,10.25,1430,14455
Open Finance SA,1.11,-3.48,1.15,1.11,1.20,11519,13097
Oponeo.pl SA,21.90,+0.46,22.00,21.60,22.20,1318,28697
OPTeam SA,9.00,—,—,—,—,—,—
Orange Polska SA,5.90,+0.34,5.88,5.85,5.93,1141869,6725695
Orbis SA,96.60,+2.33,95.80,95.60,96.60,956,92180
Orion Investment SA,6.15,-2.38,6.50,5.95,6.75,1310,7999
Orzeł Biały SA,10.05,-0.50,10.10,10.05,10.15,106,1070
OT Logistics SA,7.05,-0.70,7.05,7.05,7.05,5,35
Ovostar Union NV,79.00,-1.25,79.00,79.00,79.00,1,79
PA Nova SA,13.00,+11.11,12.20,12.00,13.30,12652,163507
Pamapol SA,1.12,+3.70,1.09,1.08,1.12,2620,2840
Patentus SA,1.39,0.00,1.39,1.39,1.39,1200,1668
PBS Finanse SA,0.20,—,—,—,—,—,—
PC Guard SA,1.17,—,—,—,—,—,—
PCC Exol SA,1.53,—,—,—,—,—,—
PCC Rokita SA,53.60,0.00,54.00,53.60,54.60,673,36471
Peixin International Group NV,1.02,—,—,—,—,—,—
Pekabex SA,7.70,-2.53,7.75,7.65,7.90,4381,33976
Pepees SA,1.83,+1.10,1.85,1.76,1.85,10652,19174
Pfleiderer Group SA,26.30,0.00,26.30,26.30,26.30,1154,30350
PGE SA,8.08,-1.65,8.22,8.02,8.25,1077732,8739185
PGNiG SA,4.94,-1.22,5.03,4.89,5.05,5592113,27761736
PGO SA,1.47,+0.68,1.47,1.47,1.47,37,54
PGS Software SA,10.10,-0.98,10.00,9.96,10.10,2938,29400
Pharmena SA,7.60,-1.04,7.60,7.40,7.98,2030,15415
PHN SA,12.75,-0.78,12.60,12.50,12.80,1819,22830
PHZ Baltona SA,6.30,-3.82,6.30,6.30,6.30,2,13
PKN Orlen SA,92.82,-1.69,94.50,91.50,94.86,868593,80776419
PKO BP SA,40.94,-0.58,41.18,40.65,41.44,2399222,98436778
PKP Cargo SA,27.35,-4.04,28.50,27.30,28.50,64887,1799453
Plast-Box SA,1.91,+0.53,1.91,1.91,1.91,795,1518
Platynowe Inwestycje SE,0.50,—,—,—,—,—,—
Play Communications SA,27.18,+0.07,27.60,27.00,28.34,1181703,32638006
PlayWay SA,180.40,-0.66,181.00,179.40,182.00,3319,601173
Plaza Centers NV,1.62,+5.19,1.54,1.54,1.62,1622,2548
PMPG Polskie Media SA,1.14,+1.79,1.12,1.12,1.14,34773,39621
Polenergia SA,25.00,-1.96,25.60,25.00,25.60,1067,26751
Police SA,14.30,0.00,14.30,14.00,14.30,435,6161
Polimex Mostostal SA,2.41,+4.10,2.31,2.31,2.44,263268,631432
Polnord SA,4.62,+1.32,4.60,4.55,4.62,3372,15459
Polski Bank Komórek Macierzystych SA,62.00,-0.32,62.60,61.60,62.60,8609,533408
Polwax SA,3.30,+1.54,3.38,3.23,3.38,2866,9470
Pozbud T&R SA,2.11,-0.47,2.14,2.11,2.14,2740,5804
Pragma Faktoring SA,11.80,+0.85,11.80,11.50,11.80,418,4826
Pragma Inkaso SA,6.98,+1.16,6.90,6.60,6.98,1931,12840
Prairie Mining Ltd.,0.71,0.00,0.73,0.68,0.73,309536,216493
Prima Moda SA,0.61,-1.61,0.61,0.61,0.61,2000,1220
Primetech SA,1.45,+4.17,1.49,1.35,1.49,3214,4619
Private Equity Managers SA,13.30,+2.31,13.30,13.30,13.30,2,27
Procad SA,0.92,-5.92,0.92,0.92,0.92,1751,1614
Prochem SA,16.70,-2.91,17.20,16.70,17.70,4341,74402
Projprzem Makrum SA,15.60,-0.64,15.70,15.60,15.70,171,2680
Protektor SA,3.66,0.00,3.66,3.66,3.66,200,732
Puławy SA,92.00,-3.16,96.00,92.00,96.00,510,47795
PZ Cormay SA,0.97,+3.62,0.94,0.93,0.97,29929,28374
PZU SA,37.65,-0.84,38.03,37.26,38.45,2559219,96369509
Quantum Software SA,15.50,—,—,—,—,—,—
Quercus TFI SA,2.21,-1.78,2.25,2.21,2.25,8887,19788
R22 SA,19.70,-0.25,19.80,19.55,19.80,559,10975
Radpol SA,1.16,+3.11,1.17,1.16,1.17,1544,1797
Rafako SA,1.17,-1.02,1.18,1.17,1.22,769328,910129
Rafamet SA,11.50,+4.55,11.50,11.50,11.50,5,58
Rainbow Tours SA,25.40,+0.40,25.30,24.70,25.50,930,23518
Rank Progress SA,1.16,-2.52,1.14,1.14,1.19,8669,10217
Rawlplug SA,9.12,+0.44,9.30,9.12,9.30,20,183
Redan SA,0.27,0.00,0.27,0.27,0.27,100,27
Reinhold Europe AB,0.17,—,—,—,—,—,—
Reino Capital SA,1.70,0.00,1.70,1.70,1.70,20,34
Relpol SA,5.80,-0.85,5.90,5.70,5.90,5598,32628
Remak-Energomontaż SA,9.54,+6.00,9.00,9.00,9.54,1718,15901
Resbud SE,0.35,0.00,0.35,0.35,0.35,9033,3162
Ronson Development SE,0.82,0.00,0.82,0.82,0.82,33585,27654
Rubicon Partners SA,0.97,0.00,0.97,0.91,0.97,7,7
Sadovaya Group SA,0.12,—,—,—,—,—,—
Sanok Rubber Company SA,20.80,-0.95,20.90,20.80,20.90,93,1935
Santander Bank Polska SA,315.80,+3.34,302.80,302.80,316.80,62808,19605790
Sanwil SA,0.57,0.00,0.57,0.57,0.57,25,14
Sare SA,4.40,-4.35,4.40,4.40,4.40,1000,4400
Satis Group SA w restrukturyzacji,1.32,—,—,—,—,—,—
Sco-Pak SA,0.08,—,—,—,—,—,—
Seco/Warwick SA,15.30,—,—,—,—,—,—
Seko SA,8.75,-1.69,8.80,8.75,8.80,1070,9407
Selena FM SA,11.00,0.00,11.00,11.00,11.10,4270,46990
Selvita SA,60.00,-0.99,60.60,60.00,60.60,3826,229656
Serinus Energy Inc.,0.58,0.00,0.58,0.57,0.58,397634,230503
Sescom SA,27.20,0.00,27.20,27.20,27.20,1,27
Setanta SA,3.60,-2.44,3.69,3.53,3.74,6742,24504
Sfinks SA,0.78,-3.47,0.77,0.77,0.80,17962,14161
Silvano Group AS,9.66,—,—,—,—,—,—
Simple SA,6.20,-3.88,6.45,6.20,6.45,1002,6213
Skarbiec Holding SA,17.40,0.00,17.30,17.30,17.50,1688,29411
Skotan SA,1.11,-2.63,1.14,1.11,1.14,7150,7941
Skyline Investment SA,0.64,—,—,—,—,—,—
Sleepz AG,0.82,0.00,0.82,0.82,0.82,20,17
Soho Development SA,0.64,-1.54,0.64,0.64,0.64,5,3
Solar Company SA,0.54,+8.00,0.50,0.48,0.55,191383,97704
Sonel SA,8.80,—,—,—,—,—,—
Sopharma AD,10.00,—,—,—,—,—,—
Stalexport Autostrady SA,3.25,0.00,3.24,3.21,3.27,20225,65608
Stalprodukt SA,227.50,-2.15,232.00,222.00,233.50,25175,5696714
Stalprofil SA,7.20,0.00,7.20,7.20,7.20,784,5645
Starhedge SA,0.62,+1.64,0.62,0.62,0.62,500,310
Stelmet SA,8.40,+23.53,8.10,8.10,8.40,58613,477906
Sunex SA,6.52,+2.52,6.44,6.26,6.54,4050,26156
Suwary SA,11.90,+9.17,11.90,11.90,11.90,5,60
Swissmed Centrum Zdrowia SA,2.36,+4.89,2.25,2.12,2.36,14987,34755
Sygnity SA,2.54,+1.60,2.50,2.48,2.54,10560,26358
Synektik SA,13.90,-3.47,14.40,13.90,14.40,1212,16933
T-Bull SA,22.30,+0.45,22.60,22.00,22.70,1347,30014
Talanx AG,158.80,—,—,—,—,—,—
Talex SA,14.40,0.00,14.40,14.40,14.40,20,288
Tarczyński SA,15.20,—,—,—,—,—,—
Tatry Mountain Resorts a.s.,147.00,+0.68,145.00,145.00,147.00,63,9180
Tauron Polska Energia SA,1.60,-0.74,1.61,1.58,1.62,3542154,5670203
Ten Square Games SA,137.40,-0.29,138.20,136.00,138.40,3305,451889
Termo-Rex SA,0.83,+5.06,0.83,0.83,0.83,22,18
Tesgas SA,2.48,0.00,2.48,2.48,2.48,2,5
TIM SA,8.80,-2.87,9.08,8.80,9.12,3298,29715
Torpol SA,7.32,-0.81,7.38,7.30,7.38,6603,48410
Tower Investments SA,22.70,0.00,22.70,22.70,22.70,42,953
Toya SA,4.48,+0.45,4.50,4.48,4.56,15488,69481
Trakcja PRKiI SA,2.06,+0.98,2.03,2.02,2.10,46708,96467
Trans Polonia SA,3.12,0.00,3.12,3.12,3.12,5,16
Triton Development SA,1.79,-0.56,1.79,1.79,1.79,1000,1790
TXM SA w restrukturyzacji,0.09,-6.50,0.09,0.09,0.09,7689,707
Ulma SA,51.50,+3.00,51.50,50.50,51.50,102,5153
Ultimate Games SA,20.60,+7.29,19.48,19.44,20.80,62872,1275012
Unibep SA,6.02,+1.01,5.96,5.96,6.02,211,1266
UniCredit SpA,47.80,—,—,—,—,—,—
Unima 2000 SA,2.34,0.00,2.28,2.28,2.34,880,2033
Unimot SA,24.20,+3.86,23.40,22.40,24.50,27917,651845
Ursus SA w restrukturyzacji,1.47,-1.61,1.47,1.43,1.55,880609,1320492
Venture Inc SA,1.70,0.00,1.70,1.70,1.70,15,26
Vigo System SA,310.00,—,—,—,—,—,—
