Nazwa,Kurs(PLN),Zmiana(%),Otwarcie,Min,Max,Obrot(szt),Obrot(PLN)
Dekpol SA,26.80,+0.37,26.70,26.00,26.80,879,23322
Delko SA,8.40,0.00,8.40,8.40,8.40,1548,13003
Develia SA,2.29,+0.66,2.28,2.28,2.32,37933,87417
DGA SA,6.84,0.00,6.84,6.84,6.84,21,144
Dino Polska SA,160.00,-0.25,159.10,158.50,160.50,246298,39362083
Dom Development SA,82.80,-0.48,83.20,80.80,83.20,25,2044
Drewex SA,0.57,0.00,0.57,0.57,0.57,1800,1026
Drop SA,0.10,—,—,—,—,—,—
Drozapol-Profil SA,1.34,-3.94,1.40,1.33,1.40,11179,14950
Dębica SA,90.00,+0.90,91.40,89.40,91.40,1096,98687
Echo Investment SA,4.74,-1.76,4.84,4.62,4.86,78797,371932
ED Invest SA,2.10,—,—,—,—,—,—
Efekt SA,18.00,0.00,18.00,18.00,18.00,5,90
Eko Export SA,3.88,+0.26,3.86,3.63,3.98,51107,194647
Elektrobudowa SA,6.90,-19.58,8.40,6.82,8.58,138379,1059200
Elektrociepłownia Będzin SA,16.00,-0.62,16.50,15.90,16.50,2971,47506
Elektrotim SA,3.90,+5.69,3.74,3.70,3.95,1796,6976
Elemental Holding SA,1.20,-6.54,1.29,1.17,1.29,690352,834948
Elkop SE,0.66,0.00,0.66,0.60,0.66,2748,1686
Elzab SA,2.30,-3.36,2.30,2.30,2.30,250,575
EMC Instytut Medyczny SA,4.92,—,—,—,—,—,—
Enea SA,8.88,+0.57,8.90,8.80,8.97,101380,900243
Enefi Plc.,1.50,—,—,—,—,—,—
Enel-Med SA,14.50,0.00,14.40,14.40,14.60,1819,26372
Energa SA,6.96,+1.68,6.87,6.87,7.00,142363,989738
Energoaparatura SA,1.15,-0.86,1.15,1.15,1.15,2,2
Energoinstal SA,1.00,-0.99,1.00,1.00,1.00,20,20
Enter Air SA,35.50,+0.57,35.30,35.00,35.50,5758,201812
Erbud SA,15.40,+2.67,15.50,14.90,15.50,656,9825
ERG SA,32.60,0.00,32.60,30.20,32.60,9,277
Ergis SA,2.49,-4.60,2.61,2.49,2.61,56703,142845
ES-System SA,2.68,+0.75,2.70,2.68,2.70,5291,14266
Esotiq&Henderson SA,15.00,+2.39,14.70,13.80,15.00,1774,24793
EuCO SA,2.45,0.00,2.49,2.40,2.49,524,1264
Eurocash SA,22.40,-0.88,22.52,22.12,22.68,286896,6423676
Eurohold Bulgaria AD,5.85,—,—,—,—,—,—
Eurotel SA,20.50,-0.97,20.80,20.50,21.00,8215,170703
Everest Investments SA,0.65,0.00,0.65,0.65,0.65,2,1
Famur SA,3.92,-1.13,3.96,3.91,3.99,142872,565012
Fasing SA,14.90,+0.34,14.40,14.40,14.90,1010,14626
Fast Finance SA w restrukturyzacji,0.09,—,—,—,—,—,—
Feerum SA,9.98,0.00,9.98,9.98,9.98,20,200
Fenghua SoleTech AG,17.50,—,—,—,—,—,—
Ferro SA,12.65,+2.43,12.40,12.40,12.65,1665,20845
Ferrum SA,3.54,—,—,—,—,—,—
Financial Assets Management Group SA,16.00,—,—,—,—,—,—
