Nazwa,Kurs(PLN),Zmiana(%),Otwarcie,Min,Max,Obrot(szt),Obrot(PLN)
Unimot SA,24.90,+2.89,24.70,24.30,25.40,40168,998997
Ursus SA w restrukturyzacji,1.45,-1.09,1.45,1.42,1.51,687070,1000555
Venture Inc SA,1.70,0.00,1.70,1.70,1.70,5,9
Vigo System SA,306.00,-1.29,300.00,296.00,306.00,5,1494
Vistal Gdynia SA w restrukturyzacji,2.02,-0.98,2.06,1.98,2.06,16026,31927
Vivid Games SA,1.29,-0.77,1.30,1.26,1.30,39017,49427
Votum SA,12.00,-1.64,12.35,12.00,12.40,10694,130122
Voxel SA,32.50,-0.91,32.80,32.50,33.30,1600,52793
VRG SA,4.27,-0.35,4.30,4.27,4.30,97859,417885
Wadex SA,6.52,-0.31,6.54,6.52,6.54,587,3833
Warimpex AG,6.00,—,—,—,—,—,—
Wasko SA,1.39,+2.21,1.39,1.35,1.39,3269,4471
Wawel SA,668.00,+1.21,660.00,652.00,668.00,79,52020
Wielton SA,7.65,+0.53,7.61,7.48,7.68,41905,319063
Wikana SA,1.13,+1.80,1.04,1.04,1.13,5537,6043
Wirtualna Polska SA,63.00,0.00,62.00,60.80,63.00,3028,189620
Wittchen SA,15.45,-3.44,15.95,15.45,15.95,237,3729
Wojas SA,4.80,+1.69,4.80,4.80,4.80,54,259
Work Service SA,1.06,-27.95,1.45,1.06,1.46,1530085,1848424
XTB DM SA,3.16,-1.25,3.20,3.09,3.20,502,1565
XTPL SA,123.00,+1.23,121.50,121.00,123.00,222,27006
Yolo SA,1.80,—,—,—,—,—,—
Zamet SA,0.90,0.00,0.90,0.90,0.90,30,27
Zastal SA,1.72,-2.27,1.72,1.72,1.72,26,45
ZE PAK SA,7.78,-0.26,7.80,7.72,7.80,5330,41502
ZM Henryk Kania SA w restrukturyzacji,0.29,+3.57,0.28,0.27,0.31,2151256,632087
ZM Ropczyce SA,22.70,-0.44,22.20,22.20,22.90,524,11868
ZPC Otmuchów SA,1.59,+4.61,1.59,1.59,1.59,5,8
ZPUE SA,133.00,-3.62,139.00,133.00,139.00,21,2824
ZUE SA,5.20,0.00,5.25,5.00,5.25,1006,5031
ZUK Stąporków SA,1.33,—,—,—,—,—,—
Śnieżka SA,74.00,0.00,74.00,74.00,74.00,16,1184
