Nazwa,Kurs(PLN),Zmiana(%),Otwarcie,Min,Max,Obrot(szt),Obrot(PLN)
Asseco South Eastern Europe SA,19.80,+4.21,19.00,19.00,19.80,3192,61056
Astarta Holding NV,23.00,0.00,23.00,22.90,23.10,2784,64032
Atal SA,36.80,+3.37,35.90,35.00,36.90,681,24594
Atende SA,3.46,0.00,3.46,3.46,3.46,2,7
Atlanta Poland SA,4.96,+3.33,4.79,4.61,4.96,96659,478008
Atlantis SE,0.50,-20.16,0.50,0.50,0.50,700,352
Atlas Estates Ltd.,1.42,-7.79,1.48,1.36,1.48,14477,20799
ATM Grupa SA,4.69,+0.43,4.69,4.69,4.69,2,9
ATM SA,9.52,+0.21,9.52,9.52,9.52,1,10
Atrem SA,2.03,-5.58,2.15,2.03,2.15,118,248
AUGA Group AB,1.74,—,—,—,—,—,—
Auto Partner SA,4.95,-0.20,5.08,4.95,5.10,55863,280509
Awbud SA,0.74,—,—,—,—,—,—
Baltic Bridge SA,0.05,—,—,—,—,—,—
Banco Santander SA,15.20,—,—,—,—,—,—
Bank Handlowy SA,51.50,+0.78,51.70,51.20,52.50,24780,1283530
Bank Millennium SA,6.58,-0.23,6.59,6.53,6.66,451544,2971067
Bank Pekao SA,107.10,+1.47,105.65,105.05,108.50,1231516,131998885
BBI Development SA,0.44,-1.34,0.45,0.43,0.46,119444,52000
Benefit Systems SA,740.00,+0.82,744.00,718.00,780.00,19847,15018858
Berling SA,4.18,—,—,—,—,—,—
Best SA,22.00,0.00,21.40,21.40,22.00,21,450
Betacom SA,10.50,-1.50,10.50,10.50,10.50,5,53
Biomed Lublin SA,0.98,-1.01,0.98,0.96,0.98,2915,2817
Bioton SA,4.42,-2.96,4.54,4.40,4.60,33351,149688
Biuro Inwestycji Kapitałowych SA,15.80,+1.67,15.80,15.80,15.80,5,79
BNP Paribas Bank Polska SA,67.00,0.00,70.00,67.00,70.00,2136,143115
BoomBit SA,21.38,-1.27,21.60,20.60,22.17,13854,293526
Boryszew SA,4.22,+0.60,4.19,4.15,4.30,118340,500090
Bowim SA,2.00,+3.09,2.02,2.00,2.02,400,804
BOŚ SA,7.20,-2.70,7.38,7.06,7.46,18040,130469
Braster SA,1.27,-2.31,1.31,1.23,1.31,127808,160124
British Automotive Holding SA,1.59,0.00,1.63,1.57,1.63,29494,47162
BSC Drukarnia Opakowań SA,35.60,-0.56,35.80,35.60,35.80,60,2142
Budimex SA,139.20,-0.57,140.00,139.00,141.60,6339,885545
Bumech SA,3.89,-1.52,3.98,3.89,3.98,997,3949
Capital Park SA,6.00,+4.35,6.00,6.00,6.00,5,30
Capital Partners SA,1.38,0.00,1.38,1.38,1.38,2,3
CCC SA,143.90,-0.07,145.00,141.60,145.30,73281,10533775
CD Projekt SA,249.00,-4.23,260.00,247.50,260.90,411902,104053184
CDRL SA,19.70,+0.77,19.60,19.50,20.00,4481,87795
Celon Pharma SA,38.50,-4.11,40.75,38.40,40.75,19754,781343
Centrum Nowoczesnych Technologii SA,13.50,0.00,13.50,13.50,13.50,49,662
Ceramika Nowa Gala SA,0.73,-0.68,0.73,0.73,0.74,122034,89715
CEZ a.s.,86.85,+0.87,86.20,86.20,86.85,61,5281
CFI Holding SA,0.32,+3.90,0.31,0.31,0.32,32900,10380
Chemoservis-Dwory SA,0.33,—,—,—,—,—,—
CI Games SA,1.02,-2.50,1.04,1.00,1.04,427001,436697
Ciech SA,34.75,-1.14,35.00,34.50,36.30,37066,1308889
City Service SE,9.75,0.00,9.75,9.75,9.75,3200,31200
Coal Energy SA,0.44,+3.81,0.42,0.42,0.44,3473,1495
Cognor Holding SA,1.75,+2.34,1.71,1.71,1.76,186332,324665
ComArch SA,177.00,-1.67,180.00,177.00,180.00,750,133397
Comp SA,67.60,+0.60,67.20,66.60,67.60,1878,126287
Comperia.pl SA,3.24,—,—,—,—,—,—
CPD SA,5.70,—,—,—,—,—,—
CPI FIM SA,1.49,-3.87,1.48,1.48,1.49,201,299
Cyfrowy Polsat SA,28.62,+0.28,28.54,27.88,28.74,473806,13444799
Czerwona Torebka SA,0.40,0.00,0.40,0.40,0.40,14763,5905
DataWalk SA,43.80,+0.92,45.00,43.30,46.00,16352,725798
Decora SA,19.50,0.00,19.50,19.50,19.50,2,39
Dekpol SA,26.60,-0.37,26.70,26.60,26.70,317,8432
Delko SA,8.25,+0.61,8.20,8.15,8.25,1770,14515
Develia SA,2.31,-6.11,2.46,2.46,2.46,2,5
DGA SA,6.84,0.00,6.84,6.84,6.84,30,205
Dino Polska SA,152.00,+3.12,147.00,144.00,154.70,292656,44162645
Dom Development SA,82.80,0.00,82.80,81.60,84.00,1104,90998
Drewex SA,0.57,-1.72,0.57,0.57,0.57,6,3
Drop SA,0.10,-33.33,0.10,0.10,0.10,7161,716
Drozapol-Profil SA,1.43,+1.78,1.41,1.36,1.43,1320,1847
Dębica SA,89.60,-0.67,91.60,89.60,91.60,1144,104197
Echo Investment SA,4.76,-0.10,4.77,4.71,4.80,711509,3393815
ED Invest SA,2.12,—,—,—,—,—,—
Efekt SA,18.00,+2.27,18.70,18.00,18.70,99,1786
Eko Export SA,3.98,+6.13,3.78,3.65,4.07,47745,187564
Elektrobudowa SA,8.54,+1.67,8.44,8.12,8.66,38912,328178
Elektrociepłownia Będzin SA,16.65,—,—,—,—,—,—
Elektrotim SA,3.76,-0.53,3.61,3.61,3.76,501,1884
Elemental Holding SA,1.30,-2.26,1.33,1.27,1.33,86843,113102
Elkop SE,0.66,+2.47,0.66,0.66,0.66,2,1
Elzab SA,2.46,+3.36,2.38,2.32,2.50,5467,12912
EMC Instytut Medyczny SA,4.92,—,—,—,—,—,—
Enea SA,8.98,-1.05,9.13,8.90,9.30,483654,4423267
Enefi Plc.,1.50,—,—,—,—,—,—
Enel-Med SA,14.70,+1.38,14.10,14.10,14.70,3919,57251
Energa SA,6.87,+0.88,6.87,6.86,6.97,262648,1813864
Energoaparatura SA,1.15,+4.55,1.14,1.14,1.15,4186,4795
Energoinstal SA,0.88,-8.32,0.96,0.87,0.96,16129,14272
Enter Air SA,36.00,0.00,36.00,35.50,36.20,935,33323
Erbud SA,15.90,-0.63,15.60,15.30,16.40,4625,72281
ERG SA,32.60,0.00,32.60,32.60,32.60,1,33
Ergis SA,2.72,+5.02,2.59,2.59,2.76,6701,17615
ES-System SA,2.64,-1.49,2.58,2.58,2.74,5025,13148
Esotiq&Henderson SA,14.65,-0.34,14.70,14.65,14.70,166,2437
EuCO SA,2.45,-1.61,2.47,2.38,2.47,5725,13923
Eurocash SA,22.00,+3.29,21.42,21.22,22.50,770968,16928534
Eurohold Bulgaria AD,5.90,+0.85,5.90,5.90,5.90,1,6
Eurotel SA,20.80,+0.97,20.50,20.50,20.80,2262,46825
Everest Investments SA,0.74,—,—,—,—,—,—
Famur SA,3.97,+0.51,3.95,3.94,3.99,95836,379791
Fasing SA,14.40,-0.35,15.00,14.40,15.00,735,10605
Fast Finance SA w restrukturyzacji,0.09,—,—,—,—,—,—
Feerum SA,10.00,0.00,10.00,10.00,10.00,10,100
Fenghua SoleTech AG,17.50,—,—,—,—,—,—
Ferro SA,12.10,+0.83,12.10,11.80,12.10,9080,108075
Ferrum SA,3.55,-3.01,3.32,3.32,3.59,8852,30947
Financial Assets Management Group SA,16.00,—,—,—,—,—,—
Fon SE,0.69,—,—,—,—,—,—
Forte SA,23.20,-4.72,24.35,23.20,24.75,19077,453271
GetBack SA w restrukturyzacji,3.75,—,—,—,—,—,—
Getin Holding SA,0.97,-9.68,1.03,0.96,1.11,2603534,2702302
Getin Noble Bank SA,0.35,-10.63,0.38,0.35,0.41,6091906,2278936
Global Cosmed SA,1.60,—,—,—,—,—,—
Globalworth Poland RE NV,6.72,—,—,—,—,—,—
Globe Trade Centre SA,9.41,-0.95,9.45,9.27,9.67,88976,839257
Gobarto SA,6.86,—,—,—,—,—,—
GPM Vindexus SA,8.24,-0.24,8.28,8.24,8.30,1200,9913
GPW SA,39.90,-1.12,40.50,39.90,40.85,25506,1029774
Groclin SA,1.75,-2.67,1.79,1.72,1.80,15441,27071
Grodno SA,3.84,-0.26,3.85,3.70,3.85,745,2783
Grupa Azoty SA,37.66,-0.58,38.10,37.60,38.56,37730,1433546
Grupa Kapitałowa Immobile SA,2.69,0.00,2.59,2.59,2.69,161,427
Grupa Kęty SA,321.50,-3.16,332.50,321.50,333.00,2706,881129
Grupa Lotos SA,86.70,+1.93,85.50,84.86,87.60,228901,19725463
Grupa Żywiec SA,486.00,+1.25,490.00,476.00,490.00,148,70510
Harper Hygienics SA,0.10,-8.15,0.10,0.10,0.10,133803,13318
Helio SA,10.60,+0.95,10.50,10.40,10.60,2675,28025
Herkules SA,1.32,+1.54,1.30,1.30,1.32,2266,2966
HM Inwest SA,14.00,—,—,—,—,—,—
Hollywood SA,0.99,+0.20,0.99,0.99,0.99,229,226
HubStyle SA,0.27,0.00,0.27,0.27,0.27,2,1
Hydrotor SA,35.20,0.00,35.20,35.20,35.20,45,1584
i2 Development SA,6.00,-1.64,6.00,6.00,6.00,95,570
IBSM SA,14.90,—,—,—,—,—,—
Idea Bank SA,2.15,-5.70,2.24,2.13,2.44,330125,755192
IDM SA w upadłości układowej,1.07,+5.94,1.07,1.07,1.07,7090,7586
iFirma SA,3.04,-1.94,3.09,3.00,3.09,3631,10992
IMC SA,15.50,+2.31,15.50,15.50,15.50,37,574
Immofinanz AG,107.06,-2.50,107.06,107.06,107.06,18240,1952774
Impel SA,5.90,-1.67,6.00,5.70,6.15,6474,37826
Impera Capital SA,1.10,0.00,1.10,1.10,1.10,9,10
IMS SA,3.88,+0.52,3.85,3.84,3.88,1690,6504
INC SA,0.91,—,—,—,—,—,—
Indykpol SA,63.00,0.00,63.00,63.00,63.00,1,63
ING BSK SA,187.80,+0.32,188.00,187.20,190.00,9930,1869892
Inpro SA,4.90,0.00,4.90,4.90,4.90,1,5
Instal Kraków SA,17.00,0.00,17.00,16.60,17.00,2261,38392
Inter Cars SA,213.00,0.00,214.00,208.00,215.00,1628,347217
Inter Rao Lietuva AB,12.45,+0.40,12.40,12.30,12.45,1950,24191
Interbud-Lublin SA,0.50,—,—,—,—,—,—
Interferie SA,3.88,-4.43,3.86,3.80,3.88,4083,15607
Interma Trade SA,2.29,-4.58,2.22,2.07,2.39,8410,18347
International Personal Finance plc,7.78,—,—,—,—,—,—
Intersport Polska SA,2.05,-1.91,2.14,2.05,2.16,35547,74084
Introl SA,2.80,0.00,2.80,2.80,2.80,10,28
Investment Friends Capital SE,0.66,+19.09,0.66,0.66,0.66,160,105
Investment Friends SE,0.21,—,—,—,—,—,—
Invista SA,0.56,—,—,—,—,—,—
Ipopema Securities SA,1.54,+5.12,1.54,1.54,1.54,20,31
IQ Partners SA,0.26,—,—,—,—,—,—
Izoblok SA,28.00,0.00,28.00,28.00,28.00,100,2800
Izolacja Jarocin SA,1.56,0.00,1.56,1.51,1.56,804,1222
Izostal SA,2.85,-1.72,2.86,2.85,2.91,3065,8745
J.W. Construction Holding SA,2.69,-0.37,2.75,2.68,2.75,2038,5565
Jastrzębska Spółka Węglowa SA,28.06,-0.50,28.32,27.40,28.46,387066,10811341
JHM Development SA,1.52,-1.94,1.54,1.52,1.59,5004,7636
JJ Auto AG,9.70,—,—,—,—,—,—
JWW Invest SA,1.09,0.00,1.09,1.09,1.09,10,11
K2 Internet SA,9.20,+1.66,9.45,9.05,9.45,1295,11752
KB Dom SA,0.58,—,—,—,—,—,—
KCI SA,0.38,+0.26,0.38,0.38,0.38,3630,1383
KDM Shipping Public Ltd.,1.40,—,—,—,—,—,—
Kernel Holding SA,44.50,+0.23,44.85,44.25,45.15,62533,2784689
KGHM SA,79.98,-0.55,80.86,79.28,80.86,533129,42686184
Kino Polska TV SA,10.80,0.00,10.80,10.80,10.80,82,886
Kogeneracja SA,34.00,-2.58,34.50,34.00,34.50,733,25233
Kompap SA,6.40,—,—,—,—,—,—
Komputronik SA,2.77,0.00,2.77,2.70,2.77,746,2062
Konsorcjum Stali SA,24.40,+1.67,24.40,24.40,24.40,1,24
Korporacja KGL SA,12.30,0.00,12.30,12.30,12.30,128,1574
KPPD SA,23.80,—,—,—,—,—,—
Krakchemia SA,0.43,+4.57,0.43,0.43,0.43,3936,1685
Kredyt Inkaso SA,7.90,+1.28,7.90,7.90,7.90,1,8
Krezus SA,0.56,—,—,—,—,—,—
KRKA DD,267.00,+1.91,267.00,267.00,267.00,4,1068
Kruk SA,155.40,-0.38,155.00,153.10,157.30,58496,9084514
Kruszwica SA,40.50,-0.25,40.50,40.50,40.60,1114,45148
Krynica Vitamin SA,4.08,+2.00,4.08,4.08,4.08,383,1563
Krynicki Recykling SA,4.04,0.00,4.05,4.04,4.05,2005,8110
KSG Agro SA,1.02,—,—,—,—,—,—
Labo Print SA,9.88,0.00,9.88,9.88,9.88,2,20
Larq SA,3.10,0.00,3.08,3.08,3.10,1400,4338
Lena Lighting SA,3.20,+0.63,3.17,3.17,3.20,5305,16871
Lentex SA,7.00,+0.29,6.98,6.98,7.00,575,4015
Libet SA,0.54,-5.61,0.58,0.53,0.58,132720,71998
LiveChat Software SA,37.00,0.00,37.45,36.80,37.45,14052,520303
Lokum Deweloper SA,13.50,-1.46,13.70,13.50,13.70,1182,15957
LPP SA,7275.00,-0.41,7270.00,7145.00,7300.00,1845,13362370
LSI Software SA,13.75,-1.43,13.90,13.15,13.90,1800,24348
Lubawa SA,0.85,+2.41,0.83,0.83,0.87,429855,365543
LW Bogdanka SA,38.00,+0.80,37.40,36.90,38.20,29046,1095219
Mabion SA,82.10,-4.20,85.40,82.10,85.70,2454,203924
Makarony Polskie SA,4.24,0.00,4.24,4.24,4.34,3385,14452
Mangata Holding SA,65.00,0.00,65.00,65.00,66.00,668,43577
Marie Brizard Wine & Spirits S.A.,11.10,0.00,10.90,10.90,11.10,6,66
Marvipol Development SA,3.51,+1.15,3.50,3.45,3.52,33606,117535
Master Pharm SA,5.80,-0.34,5.82,5.62,5.82,19114,109980
Maxcom SA,17.50,+0.29,17.50,17.00,17.50,711,12354
mBank SA,324.60,-0.43,328.40,322.00,328.40,12218,3976191
MCI Capital SA,9.20,0.00,9.20,9.14,9.20,18716,172161
MDI Energia SA,3.39,-5.83,3.60,3.35,3.60,94,322
Mediacap SA,1.97,+6.49,1.88,1.88,1.98,9890,18780
Mediatel SA,0.74,—,—,—,—,—,—
Medicalgorithmics SA,31.00,0.00,31.00,30.60,31.50,660,20401
Megaron SA,13.00,—,—,—,—,—,—
Mennica Polska SA,22.60,—,—,—,—,—,—
Mercator Medical SA,6.44,+1.10,6.30,6.30,6.44,213,1343
Mercor SA,7.90,+1.02,7.82,7.60,7.90,35835,275281
Mex Polska SA,3.18,+1.92,3.18,3.16,3.18,4350,13833
MFO SA,19.50,0.00,19.50,19.50,19.50,2,39
Milkiland NV,0.45,0.00,0.45,0.45,0.45,27,12
Miraculum SA,1.27,+1.59,1.29,1.23,1.29,14610,18404
Mirbud SA,0.90,-1.97,0.92,0.90,0.92,96955,87918
ML System SA,21.10,-6.22,22.00,21.10,22.00,1861,39653
MLP Group SA,46.40,-1.28,46.40,46.40,46.40,1,46
Mo-Bruk SA,106.00,-1.85,106.00,105.00,106.00,68,7197
MOJ SA,0.72,—,—,—,—,—,—
MOL Rt.,38.00,+0.26,41.68,38.00,41.68,20085,774841
Monnari Trade SA,4.63,+3.12,4.66,4.60,4.80,19469,90756
Mostostal Płock SA,6.16,+2.33,6.16,6.02,6.24,1827,11146
Mostostal Warszawa SA,4.35,+1.64,4.30,4.25,4.49,15658,67409
Mostostal Zabrze SA,0.43,-1.61,0.44,0.43,0.44,116838,50687
Muza SA,2.84,—,—,—,—,—,—
MW Trade SA,3.58,-0.56,3.68,3.58,3.74,7330,27040
MZN Property SA,0.68,-5.29,0.72,0.68,0.72,10635,7345
NanoGroup SA,3.10,—,—,—,—,—,—
Netia SA,4.55,+0.89,4.50,4.50,4.55,11814,53205
Neuca SA,354.00,+1.14,349.00,349.00,358.00,1397,495160
New World Resources Plc,0.02,—,—,—,—,—,—
Newag SA,18.75,+1.08,18.70,18.55,18.80,991,18537
North Coast SA,5.82,+3.19,5.78,5.70,5.82,113,652
Novaturas AB,27.20,-2.86,27.20,27.20,27.20,3,82
Novita SA,39.80,0.00,39.80,39.80,39.80,20,796
NTT System SA,2.11,+3.94,2.11,2.08,2.20,14801,31696
Octava SA,0.85,0.00,0.85,0.85,0.85,1203,1023
Odlewnie Polskie SA,3.30,0.00,3.34,3.30,3.34,17138,57045
OEX SA,17.20,—,—,—,—,—,—
OncoArendi Therapeutics SA,10.20,+3.03,10.20,9.90,10.20,7077,71835
Open Finance SA,1.19,-2.06,1.21,1.16,1.30,11152,13549
Oponeo.pl SA,22.10,+0.45,22.10,22.10,22.20,1219,27017
OPTeam SA,9.00,0.00,9.00,8.80,9.15,2033,18358
Orange Polska SA,5.92,-0.92,5.97,5.88,6.03,1319633,7812295
Orbis SA,96.20,+0.63,96.00,95.60,96.20,1200,115309
Orion Investment SA,5.90,+0.85,6.00,5.40,6.00,4759,26687
Orzeł Biały SA,10.15,—,—,—,—,—,—
OT Logistics SA,6.90,-9.80,7.40,6.90,7.40,11760,82953
Ovostar Union NV,79.50,-0.63,80.00,79.50,80.00,32,2545
PA Nova SA,11.60,+0.87,11.50,11.50,11.70,530,6127
Pamapol SA,1.08,-1.82,1.11,1.08,1.11,1413,1568
Patentus SA,1.44,0.00,1.35,1.35,1.44,2,3
PBS Finanse SA,0.20,0.00,0.20,0.20,0.20,15,3
PC Guard SA,1.17,—,—,—,—,—,—
PCC Exol SA,1.59,-0.31,1.59,1.59,1.59,1,2
PCC Rokita SA,54.00,+1.89,53.20,53.20,55.20,2732,147770
Peixin International Group NV,1.02,—,—,—,—,—,—
Pekabex SA,7.75,-2.52,8.00,7.70,8.00,45680,355987
Pepees SA,1.79,0.00,1.79,1.79,1.79,1002,1794
Pfleiderer Group SA,26.30,0.00,26.30,26.20,26.30,366,9605
PGE SA,8.10,-0.15,8.19,8.07,8.22,1729156,14069659
PGNiG SA,5.00,+4.14,4.81,4.75,5.03,8374904,41204357
PGO SA,1.44,-2.04,1.47,1.44,1.47,51,75
PGS Software SA,9.98,-1.38,10.18,9.98,10.20,842,8492
Pharmena SA,7.80,+4.00,7.62,7.60,7.98,4461,34423
PHN SA,12.85,+0.39,12.80,12.65,12.85,2134,27178
PHZ Baltona SA,6.55,-0.76,6.60,6.15,6.60,617,3802
PKN Orlen SA,94.50,+3.62,91.30,90.70,94.74,1202773,112497251
PKO BP SA,41.40,+0.56,40.88,40.85,41.74,3095159,127961188
PKP Cargo SA,28.20,-0.70,28.55,27.90,28.75,67981,1926082
Plast-Box SA,2.02,0.00,2.02,2.02,2.02,5,10
Platynowe Inwestycje SE,0.50,—,—,—,—,—,—
Play Communications SA,27.20,-3.61,28.22,27.12,28.22,1411773,38942208
PlayWay SA,177.60,-1.00,179.40,177.60,179.40,936,166627
Plaza Centers NV,1.68,-0.59,1.69,1.57,1.69,1036,1690
PMPG Polskie Media SA,1.19,0.00,1.17,1.17,1.19,2000,2360
Polenergia SA,25.00,+4.17,24.30,23.80,25.00,2790,67742
Police SA,14.00,-2.10,13.60,12.30,14.30,2050,28601
Polimex Mostostal SA,2.26,-0.22,2.27,2.23,2.27,42511,95638
Polnord SA,4.70,-3.69,4.79,4.70,4.80,3587,17075
Polski Bank Komórek Macierzystych SA,61.60,+0.33,61.20,61.00,61.80,6213,382323
Polwax SA,3.23,-2.12,3.40,3.23,3.40,2106,6803
Pozbud T&R SA,2.15,+0.47,2.16,2.13,2.20,122393,262310
Pragma Faktoring SA,11.70,-0.85,11.70,11.70,11.70,17,199
Pragma Inkaso SA,6.84,+2.09,6.70,6.70,6.84,1112,7557
Prairie Mining Ltd.,0.68,+4.65,0.64,0.64,0.68,356872,234022
Prima Moda SA,0.65,-27.78,0.65,0.65,0.65,5120,3328
Primetech SA,1.44,-1.23,1.45,1.44,1.48,46367,66919
Private Equity Managers SA,12.90,0.00,12.65,12.40,12.90,1039,13122
Procad SA,0.99,—,—,—,—,—,—
Prochem SA,16.90,0.00,16.90,16.50,16.90,3531,58274
Projprzem Makrum SA,16.50,0.00,16.50,16.50,16.50,84,1386
Protektor SA,3.68,—,—,—,—,—,—
Puławy SA,96.00,0.00,95.00,95.00,96.00,272,26053
PZ Cormay SA,0.95,+5.56,0.91,0.88,0.97,104305,97517
PZU SA,38.35,+1.46,37.91,37.65,38.62,2099341,80309347
Quantum Software SA,15.50,+9.93,15.60,14.10,15.60,570,8850
Quercus TFI SA,2.22,-0.45,2.22,2.22,2.22,1100,2442
R22 SA,19.75,-1.25,20.00,19.60,20.00,2890,57272
Radpol SA,1.15,-3.77,1.20,1.15,1.20,5010,5762
Rafako SA,1.18,-6.93,1.29,1.18,1.29,1135182,1373091
Rafamet SA,11.00,—,—,—,—,—,—
Rainbow Tours SA,25.20,+1.61,25.00,25.00,25.50,1452,36690
Rank Progress SA,1.20,+5.26,1.14,1.14,1.20,26061,31059
Rawlplug SA,9.44,+6.31,8.88,8.88,9.44,2182,19647
Redan SA,0.27,+2.27,0.27,0.27,0.27,300,81
Reinhold Europe AB,0.17,0.00,0.17,0.17,0.17,10,2
Reino Capital SA,1.54,+2.67,1.49,1.49,1.54,1759,2648
Relpol SA,5.90,-0.84,6.00,5.90,6.00,1583,9431
Remak-Energomontaż SA,9.00,-0.66,9.04,8.64,9.04,333,2896
Resbud SE,0.34,-1.18,0.34,0.34,0.34,5336,1794
Ronson Development SE,0.85,0.00,0.85,0.85,0.85,3234,2749
Rubicon Partners SA,0.96,-0.62,0.97,0.92,0.97,9,8
Sadovaya Group SA,0.12,—,—,—,—,—,—
Sanok Rubber Company SA,21.30,+2.40,20.90,20.80,21.30,151,3154
Santander Bank Polska SA,298.60,-2.10,309.00,293.40,309.00,49147,14684010
Sanwil SA,0.57,—,—,—,—,—,—
Sare SA,4.60,+2.22,4.60,4.48,4.60,4250,19222
Satis Group SA w restrukturyzacji,1.32,—,—,—,—,—,—
Sco-Pak SA,0.08,—,—,—,—,—,—
Seco/Warwick SA,15.00,0.00,14.80,14.80,15.00,80,1192
Seko SA,9.05,+2.84,8.90,8.85,9.15,10012,90014
Selena FM SA,10.90,-0.91,10.70,10.70,10.90,237,2555
Selvita SA,60.00,-0.99,60.00,59.40,60.00,848,50567
Serinus Energy Inc.,0.56,-1.75,0.57,0.56,0.57,21154,11875
Sescom SA,27.20,0.00,27.20,27.20,27.20,2,54
Setanta SA,3.64,+4.60,3.52,3.48,3.64,23383,83353
Sfinks SA,0.81,+1.00,0.78,0.75,0.81,11220,8653
Silvano Group AS,10.00,-0.99,10.00,10.00,10.00,101,1010
Simple SA,6.45,+3.20,6.45,6.45,6.45,1,6
Skarbiec Holding SA,17.50,-2.23,17.90,17.30,17.90,1377,24031
Skotan SA,1.13,-5.04,1.15,1.10,1.17,32373,36505
Skyline Investment SA,0.64,—,—,—,—,—,—
Sleepz AG,0.82,0.00,0.82,0.82,0.82,5,4
Soho Development SA,0.65,0.00,0.71,0.62,0.71,16074,10225
Solar Company SA,0.48,+0.42,0.48,0.48,0.48,17450,8368
Sonel SA,8.80,—,—,—,—,—,—
Sopharma AD,10.50,—,—,—,—,—,—
Stalexport Autostrady SA,3.25,0.00,3.25,3.15,3.25,181464,588542
Stalprodukt SA,233.00,+4.48,226.00,223.00,234.00,5058,1158269
Stalprofil SA,7.05,-1.40,7.00,6.90,7.10,10723,74253
Starhedge SA,0.63,+0.80,0.63,0.63,0.66,7580,4801
Stelmet SA,6.85,—,—,—,—,—,—
Sunex SA,6.36,-0.63,6.18,6.16,6.42,1242,7849
Suwary SA,11.90,0.00,11.90,11.90,11.90,5,60
Swissmed Centrum Zdrowia SA,2.18,+4.31,2.09,2.04,2.19,17777,37360
Sygnity SA,2.50,0.00,2.48,2.43,2.54,10631,26259
Synektik SA,14.40,+0.70,14.30,14.30,14.40,190,2718
T-Bull SA,22.60,-0.88,23.30,22.50,23.30,1085,24538
Talanx AG,137.00,—,—,—,—,—,—
Talex SA,14.40,+1.77,14.40,14.40,14.40,2,29
Tarczyński SA,15.20,0.00,15.20,15.20,15.20,37,562
Tatry Mountain Resorts a.s.,146.00,—,—,—,—,—,—
Tauron Polska Energia SA,1.60,-0.37,1.61,1.59,1.63,3792580,6114050
Ten Square Games SA,137.80,0.00,137.40,136.20,137.80,2627,359318
Termo-Rex SA,0.80,+1.01,0.79,0.75,0.80,1610,1247
Tesgas SA,2.48,-0.80,2.48,2.48,2.48,102,253
TIM SA,8.90,-1.11,9.00,8.84,9.00,3183,28369
Torpol SA,7.44,-0.53,7.40,7.38,7.80,28897,216725
Tower Investments SA,22.50,—,—,—,—,—,—
Toya SA,4.66,-2.92,4.92,4.60,4.92,24622,114772
Trakcja PRKiI SA,2.21,+11.06,2.00,2.00,2.29,528746,1164120
Trans Polonia SA,3.13,+4.67,3.13,3.13,3.13,5,16
Triton Development SA,1.82,+0.55,1.82,1.82,1.82,503,915
TXM SA w restrukturyzacji,0.10,-0.20,0.10,0.10,0.10,150,15
Ulma SA,50.00,0.00,52.50,50.00,52.50,21,1053
Ultimate Games SA,18.68,-0.64,18.78,18.56,18.92,7666,143339
Unibep SA,5.98,+0.34,5.98,5.96,6.06,2141,12791
UniCredit SpA,48.05,+4.23,48.05,48.05,48.05,77,3700
Unima 2000 SA,2.32,-0.85,2.44,2.26,2.50,1407,3259
Unimot SA,24.10,+0.84,24.00,23.50,24.50,13755,329737
Ursus SA w restrukturyzacji,1.46,-12.98,1.55,1.42,1.61,3369232,5098809
