Nazwa,Kurs(PLN),Zmiana(%),Otwarcie,Min,Max,Obrot(szt),Obrot(PLN)
11 bit studios SA,410.00,-0.24,415.00,409.00,415.00,3999,1644978
4Fun Media SA,6.70,-1.47,6.80,6.70,6.80,1406,9456
AB SA,18.50,-1.60,18.80,18.50,18.80,173,3221
AC SA,39.60,0.00,40.00,39.00,40.00,8064,316399
Action SA w restrukturyzacji,3.17,-3.35,3.24,3.13,3.28,12652,40445
Adiuvo Investments SA,6.32,-2.47,6.32,6.32,6.32,160,1011
Agora SA,10.05,+0.50,9.90,9.82,10.30,4536,45268
Agroton Plc,2.95,—,—,—,—,—,—
Ailleron SA,7.38,+0.27,7.20,7.20,7.38,385,2796
Airway Medix SA,0.64,0.00,0.64,0.63,0.65,5368,3427
Alior Bank SA,41.30,+2.08,40.60,40.52,41.52,628266,25907210
Alta SA,2.38,-0.83,2.40,2.24,2.40,522,1174
Altus TFI SA,2.02,+0.25,2.02,2.00,2.02,4686,9441
Alumetal SA,35.60,+2.30,35.20,35.20,35.80,1709,60524
Ambra SA,17.30,+2.06,17.00,17.00,17.30,7949,136114
Amica SA,116.00,-0.85,117.80,115.80,117.80,7054,822194
AmRest Holdings SE,43.40,0.00,43.35,43.15,43.40,33363,1446972
Apator SA,22.80,-5.00,23.70,22.80,23.70,2447,56385
Aplisens SA,10.40,-0.95,10.40,10.40,10.40,2,21
APS Energia SA,2.00,+5.26,2.00,2.00,2.00,21,42
Archicom SA,13.40,+2.29,13.10,12.90,13.40,803,10514
Arctic Paper SA,3.05,-1.61,3.09,2.98,3.09,29789,90637
Arcus SA,2.30,-3.36,2.38,2.30,2.38,6138,14161
Arteria SA,5.45,0.00,5.45,5.20,5.45,1926,10383
Artifex Mundi SA,3.50,-1.82,3.60,3.46,3.60,1753,6128
ASBISc Enterprises PLC,2.42,+0.83,2.40,2.38,2.43,37294,89442
ASM Group SA,3.30,—,—,—,—,—,—
Asseco BS SA,27.60,+2.22,26.60,26.60,27.60,1782,48790
Asseco Poland SA,55.10,-1.78,56.10,55.00,56.45,45272,2515702
