Nazwa,Kurs(PLN),Zmiana(%),Otwarcie,Min,Max,Obrot(szt),Obrot(PLN)
Atende SA,3.46,0.00,3.46,3.38,3.46,83550,284075
Atlanta Poland SA,4.86,-2.02,4.77,4.76,4.86,3677,17562
Atlantis SE,0.51,+1.41,0.51,0.51,0.51,100,51
Atlas Estates Ltd.,1.38,-3.17,1.38,1.38,1.38,8,11
ATM Grupa SA,4.68,-0.21,4.68,4.56,4.68,3473,15972
ATM SA,10.50,+10.29,10.00,9.78,10.50,1530,15423
Atrem SA,2.15,+5.91,2.15,2.15,2.15,2,4
AUGA Group AB,1.74,—,—,—,—,—,—
Auto Partner SA,4.20,-15.15,4.60,4.16,4.60,961380,4141836
Awbud SA,0.73,-1.35,0.72,0.72,0.73,1000,729
Baltic Bridge SA,0.05,—,—,—,—,—,—
Banco Santander SA,16.70,+9.87,15.20,15.20,16.70,2378,37695
Bank Handlowy SA,52.00,+0.97,52.10,51.60,52.30,7105,370260
Bank Millennium SA,6.49,-1.37,6.59,6.43,6.59,619175,4026718
Bank Pekao SA,107.35,+0.23,106.90,106.85,107.95,701750,75285084
BBI Development SA,0.47,+5.87,0.46,0.44,0.47,26515,12145
Benefit Systems SA,694.00,-6.22,752.00,688.00,752.00,1224,870482
Berling SA,3.96,-5.26,3.96,3.96,3.96,110,436
Best SA,22.00,—,—,—,—,—,—
Betacom SA,10.00,-4.76,10.50,10.00,10.50,1980,19875
Biomed Lublin SA,0.96,-2.04,0.96,0.96,0.97,3400,3268
Bioton SA,4.31,-2.49,4.50,4.31,4.50,25656,111904
Biuro Inwestycji Kapitałowych SA,15.80,0.00,15.78,15.78,15.82,315,4976
BNP Paribas Bank Polska SA,68.00,+1.49,68.00,68.00,68.00,41,2788
BoomBit SA,21.80,+1.99,21.00,20.73,21.98,10214,215993
Boryszew SA,4.25,+0.59,4.22,4.22,4.28,86960,369923
Bowim SA,2.00,—,—,—,—,—,—
BOŚ SA,7.38,+2.50,7.28,7.20,7.38,4824,35021
Braster SA,1.25,-1.57,1.28,1.22,1.28,151048,187563
British Automotive Holding SA,1.60,+0.63,1.59,1.59,1.62,12137,19383
BSC Drukarnia Opakowań SA,35.60,0.00,35.60,35.60,35.60,52,1851
Budimex SA,140.00,+0.57,139.20,139.00,140.00,2721,380563
Bumech SA,3.87,-0.51,3.86,3.76,3.88,3578,13590
Capital Park SA,6.02,+0.33,6.02,6.02,6.02,229,1379
Capital Partners SA,1.38,—,—,—,—,—,—
CCC SA,144.00,+0.07,143.80,143.20,144.90,154852,22302548
CD Projekt SA,252.00,+1.20,250.00,249.50,253.90,234886,59262969
CDRL SA,19.50,-1.02,19.90,19.50,19.90,746,14694
Celon Pharma SA,40.00,+3.90,38.60,37.95,40.65,13137,505569
Centrum Nowoczesnych Technologii SA,13.50,0.00,13.50,13.50,13.50,2,27
Ceramika Nowa Gala SA,0.74,+0.68,0.74,0.73,0.74,114613,84584
CEZ a.s.,87.00,+0.17,87.00,87.00,87.00,54,4698
CFI Holding SA,0.36,+12.50,0.33,0.33,0.36,56941,20143
Chemoservis-Dwory SA,0.33,—,—,—,—,—,—
CI Games SA,1.01,-0.20,1.03,0.99,1.03,381728,386823
Ciech SA,37.50,+7.91,34.85,34.85,37.50,73006,2687877
City Service SE,9.75,0.00,9.75,9.75,9.75,600,5850
Coal Energy SA,0.43,-0.46,0.43,0.40,0.43,11025,4511
Cognor Holding SA,1.77,+1.14,1.75,1.73,1.78,122088,214548
ComArch SA,179.00,+1.13,177.50,177.50,180.50,258,46194
Comp SA,67.60,—,—,—,—,—,—
Comperia.pl SA,3.24,—,—,—,—,—,—
CPD SA,5.70,—,—,—,—,—,—
CPI FIM SA,1.60,+7.38,1.48,1.48,1.60,14499,23171
Cyfrowy Polsat SA,27.96,-2.31,28.82,27.76,28.84,462160,12935852
Czerwona Torebka SA,0.40,0.00,0.41,0.40,0.41,837,335
DataWalk SA,42.50,-2.97,43.40,42.00,43.40,8350,357187
Decora SA,19.00,-2.56,19.50,19.00,19.50,234,4450
Dekpol SA,26.70,+0.38,26.70,26.70,26.70,2,53
Delko SA,8.40,+1.82,8.30,8.30,8.40,2596,21751
Develia SA,2.31,+0.22,2.31,2.31,2.33,224344,520315
DGA SA,6.84,0.00,6.84,6.84,6.84,160,1094
Dino Polska SA,159.70,+5.07,153.00,153.00,159.70,321985,50856820
Dom Development SA,83.60,+0.97,82.80,82.00,83.60,105,8724
Drewex SA,0.57,0.00,0.57,0.57,0.57,500,285
Drop SA,0.10,0.00,0.10,0.10,0.10,967,97
Drozapol-Profil SA,1.39,-2.80,1.43,1.39,1.43,78,110
Dębica SA,89.20,-0.45,90.00,88.40,90.00,549,49040
Echo Investment SA,4.78,+0.31,4.76,4.74,4.84,231864,1111810
ED Invest SA,2.10,-0.94,2.10,2.10,2.10,555,1166
Efekt SA,17.40,-3.33,18.00,17.40,18.00,15,264
Eko Export SA,3.98,0.00,4.09,3.90,4.14,28847,116647
Elektrobudowa SA,8.58,+0.47,8.42,8.34,8.90,33597,288422
Elektrociepłownia Będzin SA,16.75,+0.60,16.75,16.75,16.75,5,84
Elektrotim SA,3.84,+2.13,3.76,3.76,3.84,1355,5121
Elemental Holding SA,1.30,0.00,1.31,1.27,1.31,79677,103285
Elkop SE,0.66,-0.90,0.60,0.60,0.66,845,507
Elzab SA,2.30,-6.50,2.46,2.28,2.52,4329,9933
EMC Instytut Medyczny SA,4.92,—,—,—,—,—,—
Enea SA,9.04,+0.56,8.98,8.83,9.16,214595,1928654
Enefi Plc.,1.50,—,—,—,—,—,—
Enel-Med SA,14.40,-2.04,14.50,14.40,14.80,6040,88135
Energa SA,6.95,+1.16,6.95,6.88,7.00,289742,2011857
Energoaparatura SA,1.11,-3.48,1.18,1.11,1.18,1072,1190
Energoinstal SA,0.92,+4.31,0.93,0.92,0.93,620,571
Enter Air SA,35.50,-1.39,36.00,35.50,36.00,1444,51532
Erbud SA,15.80,-0.63,15.90,15.40,15.90,4036,63291
ERG SA,32.60,0.00,32.60,32.60,32.60,1,33
Ergis SA,2.71,-0.37,2.71,2.71,2.71,100,271
ES-System SA,2.74,+3.79,2.74,2.72,2.74,10442,28487
Esotiq&Henderson SA,14.70,+0.34,14.70,14.10,14.70,85,1205
EuCO SA,2.45,0.00,2.45,2.40,2.45,1218,2949
Eurocash SA,22.68,+3.09,22.34,22.22,22.80,472616,10661027
Eurohold Bulgaria AD,5.90,—,—,—,—,—,—
Eurotel SA,20.70,-0.48,20.50,20.30,20.70,4905,100295
Everest Investments SA,0.65,-12.16,0.69,0.63,0.69,29430,19325
Famur SA,3.97,0.00,3.99,3.94,4.00,72264,286999
Fasing SA,14.70,+2.08,14.30,14.30,14.95,2167,31603
Fast Finance SA w restrukturyzacji,0.09,—,—,—,—,—,—
Feerum SA,10.00,0.00,10.00,10.00,10.00,10,100
Fenghua SoleTech AG,17.50,—,—,—,—,—,—
Ferro SA,12.15,+0.41,12.10,12.00,12.15,1892,22836
Ferrum SA,3.54,-0.28,3.62,3.54,3.63,239,856
Financial Assets Management Group SA,16.00,—,—,—,—,—,—
Fon SE,0.69,—,—,—,—,—,—
Forte SA,22.50,-3.02,23.10,21.70,23.10,55276,1229182
GetBack SA w restrukturyzacji,3.75,—,—,—,—,—,—
Getin Holding SA,0.93,-4.64,0.97,0.92,0.97,727292,686853
Getin Noble Bank SA,0.33,-5.95,0.35,0.33,0.35,2190365,741631
Global Cosmed SA,1.60,—,—,—,—,—,—
Globalworth Poland RE NV,6.72,0.00,6.72,6.72,6.72,178,1196
Globe Trade Centre SA,9.48,+0.74,9.42,9.31,9.48,6851,64487
Gobarto SA,6.86,0.00,6.86,6.86,6.86,110,755
GPM Vindexus SA,8.24,0.00,8.22,8.06,8.30,7402,60634
GPW SA,40.45,+1.38,40.05,40.00,40.50,19372,778181
Groclin SA,1.80,+2.74,1.76,1.72,1.83,22685,40771
Grodno SA,3.85,+0.26,3.85,3.70,3.85,3688,13741
Grupa Azoty SA,38.00,+0.90,37.60,37.52,38.40,40215,1527449
Grupa Kapitałowa Immobile SA,2.75,+2.23,2.69,2.65,2.75,697,1877
Grupa Kęty SA,314.50,-2.18,325.50,313.50,325.50,972,310149
Grupa Lotos SA,85.62,-1.25,85.00,84.50,86.20,186433,15960345
Grupa Żywiec SA,484.00,-0.41,480.00,474.00,486.00,63,30058
Harper Hygienics SA,0.10,+1.31,0.10,0.10,0.10,5215,522
Helio SA,10.60,0.00,10.60,10.50,10.60,1099,11559
Herkules SA,1.32,0.00,1.32,1.32,1.32,1035,1366
HM Inwest SA,14.00,—,—,—,—,—,—
Hollywood SA,0.99,0.00,0.99,0.99,1.00,7848,7754
HubStyle SA,0.27,0.00,0.27,0.27,0.27,3900,1053
Hydrotor SA,35.20,0.00,35.20,35.20,35.20,69,2429
i2 Development SA,6.05,+0.83,6.00,6.00,6.05,315,1905
IBSM SA,14.90,—,—,—,—,—,—
Idea Bank SA,2.06,-4.19,2.18,2.06,2.18,132928,279194
IDM SA w upadłości układowej,1.15,+7.48,1.15,1.15,1.15,2000,2300
iFirma SA,3.06,+0.66,3.04,3.04,3.06,540,1650
IMC SA,15.15,-2.26,15.50,15.15,15.50,212,3216
Immofinanz AG,105.50,-1.46,105.50,105.50,105.50,15,1583
Impel SA,6.55,+11.02,6.25,6.25,6.70,7676,50027
Impera Capital SA,1.15,+4.55,1.10,1.10,1.15,22,25
IMS SA,3.85,-0.77,3.88,3.83,3.88,3090,11867
INC SA,0.91,—,—,—,—,—,—
Indykpol SA,61.00,-3.17,62.00,61.00,62.00,26,1587
ING BSK SA,188.00,+0.11,188.20,188.00,189.80,4193,790829
Inpro SA,4.90,0.00,4.90,4.90,4.90,2,10
Instal Kraków SA,16.95,-0.29,16.80,16.65,17.00,2061,34988
Inter Cars SA,213.00,0.00,213.00,212.00,213.00,424,90306
Inter Rao Lietuva AB,12.50,+0.40,12.45,12.35,12.50,12656,157775
Interbud-Lublin SA,0.50,—,—,—,—,—,—
Interferie SA,4.06,+4.64,4.06,4.06,4.06,12,49
Interma Trade SA,2.31,+0.87,2.31,2.31,2.32,3001,6939
International Personal Finance plc,7.78,—,—,—,—,—,—
Intersport Polska SA,2.10,+2.44,2.07,2.06,2.12,14802,31026
Introl SA,2.80,0.00,2.80,2.80,2.80,693,1940
Investment Friends Capital SE,0.66,—,—,—,—,—,—
Investment Friends SE,0.21,—,—,—,—,—,—
Invista SA,0.56,—,—,—,—,—,—
Ipopema Securities SA,1.48,-3.90,1.53,1.47,1.53,171,253
IQ Partners SA,0.26,—,—,—,—,—,—
Izoblok SA,27.00,-3.57,28.00,27.00,28.00,2559,71591
Izolacja Jarocin SA,1.56,0.00,1.56,1.56,1.56,120,188
Izostal SA,2.84,-0.35,2.85,2.84,2.91,3356,9566
J.W. Construction Holding SA,2.68,-0.37,2.79,2.68,2.79,2490,6875
Jastrzębska Spółka Węglowa SA,28.04,-0.07,28.16,27.54,29.00,497977,13991810
JHM Development SA,1.57,+3.29,1.57,1.57,1.57,2,3
JJ Auto AG,9.70,—,—,—,—,—,—
JWW Invest SA,1.07,-1.83,1.09,1.07,1.09,110,118
K2 Internet SA,9.20,0.00,9.45,9.00,9.45,150,1370
KB Dom SA,0.58,—,—,—,—,—,—
KCI SA,0.39,+1.05,0.39,0.39,0.39,30037,11564
KDM Shipping Public Ltd.,1.40,—,—,—,—,—,—
Kernel Holding SA,43.60,-2.02,44.65,43.05,44.65,22832,1009584
KGHM SA,79.58,-0.50,80.36,79.30,80.92,418047,33421655
Kino Polska TV SA,10.90,+0.93,10.60,10.60,10.90,4183,44833
Kogeneracja SA,34.50,+1.47,34.10,34.10,34.50,518,17785
Kompap SA,6.10,-4.69,6.10,6.10,6.10,1300,7930
Komputronik SA,2.70,-2.53,2.80,2.70,2.80,1412,3813
Konsorcjum Stali SA,24.40,0.00,24.40,24.40,25.30,2054,50123
Korporacja KGL SA,12.20,-0.81,12.30,11.80,12.30,312,3724
KPPD SA,23.80,—,—,—,—,—,—
Krakchemia SA,0.44,+0.69,0.43,0.43,0.44,1210,528
Kredyt Inkaso SA,7.85,-0.63,7.90,7.85,7.90,50,394
Krezus SA,0.56,—,—,—,—,—,—
KRKA DD,267.00,—,—,—,—,—,—
Kruk SA,157.40,+1.29,153.90,153.90,157.90,15517,2431223
Kruszwica SA,41.00,+1.23,40.50,40.50,41.40,809,33099
Krynica Vitamin SA,4.12,+0.98,4.08,4.08,4.12,1070,4382
Krynicki Recykling SA,4.00,-1.11,4.05,4.00,4.05,5924,23928
KSG Agro SA,0.98,-3.43,0.98,0.98,0.98,2030,1994
Labo Print SA,9.86,-0.20,9.86,9.86,9.86,1,10
Larq SA,3.10,0.00,3.08,3.08,3.10,10,31
Lena Lighting SA,3.19,-0.31,3.20,3.18,3.20,1462,4665
Lentex SA,7.00,—,—,—,—,—,—
Libet SA,0.54,+0.37,0.54,0.50,0.54,148462,75727
LiveChat Software SA,36.50,-1.35,37.10,35.25,37.10,4994,181643
Lokum Deweloper SA,13.50,0.00,13.50,13.50,13.50,275,3713
LPP SA,7300.00,+0.34,7250.00,7200.00,7350.00,1556,11329135
LSI Software SA,13.70,-0.36,13.30,13.30,13.70,407,5419
Lubawa SA,0.85,0.00,0.85,0.83,0.86,83379,70653
LW Bogdanka SA,40.10,+5.53,38.30,38.00,40.25,44155,1751528
Mabion SA,81.00,-1.34,82.50,80.70,84.70,1596,132925
Makarony Polskie SA,4.32,+1.89,4.32,4.32,4.32,820,3542
Mangata Holding SA,65.00,0.00,66.00,64.50,66.00,271,17592
Marie Brizard Wine & Spirits S.A.,11.10,0.00,11.10,11.10,11.10,16,178
Marvipol Development SA,3.45,-1.71,3.50,3.41,3.51,6702,23188
Master Pharm SA,5.70,-1.72,5.78,5.70,5.78,2918,16757
Maxcom SA,18.05,+3.14,17.95,17.95,18.05,85,1526
mBank SA,321.20,-1.05,325.00,318.20,329.00,11573,3732043
MCI Capital SA,9.22,+0.22,9.22,9.22,9.22,1600,14752
MDI Energia SA,3.36,-0.88,3.60,3.35,3.60,5,17
Mediacap SA,1.96,-0.51,1.95,1.95,1.99,6310,12332
Mediatel SA,0.74,—,—,—,—,—,—
Medicalgorithmics SA,31.00,0.00,31.40,30.60,31.40,293,9024
Megaron SA,13.00,—,—,—,—,—,—
Mennica Polska SA,22.60,0.00,22.60,22.60,22.60,93,2102
Mercator Medical SA,6.44,0.00,6.44,6.44,6.44,5,32
Mercor SA,7.96,+0.76,7.96,7.96,7.96,25,199
Mex Polska SA,3.14,-1.26,3.18,3.08,3.20,31703,99077
MFO SA,19.45,-0.26,19.50,17.70,19.50,6058,110379
Milkiland NV,0.45,0.00,0.45,0.45,0.45,1140,513
Miraculum SA,1.23,-3.53,1.27,1.23,1.27,8865,11153
Mirbud SA,0.85,-4.90,0.90,0.83,0.92,711841,615125
ML System SA,21.00,-0.47,21.00,20.40,21.00,1351,27961
MLP Group SA,46.40,—,—,—,—,—,—
Mo-Bruk SA,107.00,+0.94,107.00,102.00,107.00,27,2859
MOJ SA,0.72,—,—,—,—,—,—
MOL Rt.,38.16,+0.42,38.16,38.16,38.16,10000,381600
Monnari Trade SA,4.59,-0.86,4.63,4.52,4.66,11553,53338
Mostostal Płock SA,6.34,+2.92,6.16,6.16,6.36,14138,87719
Mostostal Warszawa SA,4.35,0.00,4.35,4.32,4.35,1382,6002
Mostostal Zabrze SA,0.43,—,—,—,—,—,—
Muza SA,2.72,-4.23,2.72,2.72,2.72,100,272
MW Trade SA,3.72,+3.91,3.72,3.72,3.72,2347,8731
MZN Property SA,0.70,+2.65,0.70,0.70,0.70,141,99
NanoGroup SA,3.10,0.00,3.10,3.10,3.10,999,3097
Netia SA,4.46,-1.98,4.42,4.42,4.52,23908,107568
Neuca SA,359.00,+1.41,354.00,354.00,359.00,1763,631153
New World Resources Plc,0.02,—,—,—,—,—,—
Newag SA,18.70,-0.27,18.75,18.30,18.75,145,2664
North Coast SA,5.70,-2.06,5.82,5.62,5.82,3600,20481
Novaturas AB,27.20,—,—,—,—,—,—
Novita SA,39.80,0.00,39.80,39.80,39.80,22,876
NTT System SA,2.14,+1.42,2.11,2.11,2.14,21406,45309
Octava SA,0.85,0.00,0.85,0.85,0.85,40,34
Odlewnie Polskie SA,3.22,-2.42,3.34,3.22,3.34,16628,53842
OEX SA,17.20,—,—,—,—,—,—
OncoArendi Therapeutics SA,10.00,-1.96,10.20,10.00,10.20,431,4319
Open Finance SA,1.15,-3.36,1.14,1.08,1.15,1844,2056
Oponeo.pl SA,21.80,-1.36,22.20,21.80,22.40,403,8945
OPTeam SA,9.00,0.00,8.75,8.75,9.00,163,1442
Orange Polska SA,5.88,-0.76,5.93,5.84,5.96,1399837,8243427
Orbis SA,94.40,-1.87,96.20,94.40,96.20,168,16091
Orion Investment SA,6.30,+6.78,6.30,6.30,6.30,3,19
Orzeł Biały SA,10.10,-0.49,10.10,10.10,10.10,20,202
OT Logistics SA,7.10,+2.90,7.10,7.10,7.10,2,14
Ovostar Union NV,80.00,+0.63,80.00,76.00,80.00,137,10445
PA Nova SA,11.70,+0.86,11.60,11.10,12.00,3561,40646
Pamapol SA,1.08,—,—,—,—,—,—
Patentus SA,1.39,-3.47,1.40,1.31,1.40,11771,16012
PBS Finanse SA,0.20,0.00,0.20,0.20,0.20,9812,1962
PC Guard SA,1.17,—,—,—,—,—,—
PCC Exol SA,1.53,-4.08,1.57,1.53,1.57,2000,3068
PCC Rokita SA,53.60,-0.74,54.60,53.20,55.20,1591,86929
Peixin International Group NV,1.02,—,—,—,—,—,—
Pekabex SA,7.90,+1.94,7.75,7.75,8.10,24283,190279
Pepees SA,1.81,+1.12,1.79,1.79,1.81,2171,3906
Pfleiderer Group SA,26.30,0.00,26.30,26.30,26.30,405,10652
PGE SA,8.22,+1.46,8.10,8.10,8.28,1785966,14671438
PGNiG SA,5.00,0.00,5.04,4.95,5.11,7296093,36723320
PGO SA,1.46,+1.39,1.45,1.45,1.47,1346,1955
PGS Software SA,10.20,+2.20,10.24,9.98,10.28,5435,55462
Pharmena SA,7.68,-1.54,7.70,7.32,7.70,768,5787
PHN SA,12.85,0.00,12.85,12.65,12.85,323,4087
PHZ Baltona SA,6.55,0.00,6.30,6.10,6.55,547,3354
PKN Orlen SA,94.42,-0.08,94.06,93.32,94.76,596770,56244502
PKO BP SA,41.18,-0.53,41.50,40.84,41.77,2562040,105735258
PKP Cargo SA,28.50,+1.06,28.60,28.05,28.60,22927,650571
Plast-Box SA,1.90,-5.94,2.02,1.90,2.02,1606,3052
Platynowe Inwestycje SE,0.50,—,—,—,—,—,—
Play Communications SA,27.16,-0.15,27.26,26.58,27.60,1049543,28381170
PlayWay SA,181.60,+2.25,178.40,177.00,181.60,2368,424516
Plaza Centers NV,1.54,-8.33,1.56,1.47,1.56,8304,12769
PMPG Polskie Media SA,1.12,-5.88,1.18,1.12,1.18,1445,1654
Polenergia SA,25.50,+2.00,25.00,24.60,25.50,1934,48517
Police SA,14.30,+2.14,14.00,13.70,14.30,962,13422
Polimex Mostostal SA,2.31,+2.43,2.26,2.25,2.36,111127,257370
Polnord SA,4.56,-2.98,4.64,4.52,4.80,16721,77372
Polski Bank Komórek Macierzystych SA,62.20,+0.97,61.20,61.20,62.20,12607,776590
Polwax SA,3.25,+0.78,3.29,3.25,3.38,13335,44068
Pozbud T&R SA,2.12,-1.40,2.18,2.07,2.18,165745,351414
Pragma Faktoring SA,11.70,0.00,11.70,11.70,11.80,438,5126
Pragma Inkaso SA,6.90,+0.88,6.90,6.90,6.90,79,545
Prairie Mining Ltd.,0.71,+5.19,0.70,0.69,0.77,1689131,1214900
Prima Moda SA,0.62,-4.62,0.65,0.62,0.65,3870,2405
Primetech SA,1.39,-3.61,1.44,1.39,1.44,37535,54049
Private Equity Managers SA,13.00,+0.78,12.90,12.90,13.75,5118,69003
Procad SA,0.98,-1.01,0.99,0.98,0.99,750,735
Prochem SA,17.20,+1.78,16.90,16.90,17.20,165,2791
Projprzem Makrum SA,15.70,-4.85,15.95,15.70,15.95,85,1338
Protektor SA,3.66,-0.54,3.50,3.50,3.66,437,1530
Puławy SA,95.00,-1.04,95.20,95.00,96.00,86,8237
PZ Cormay SA,0.94,-1.05,0.96,0.92,0.96,34723,32474
PZU SA,37.97,-0.99,38.40,37.80,38.88,1789506,68364545
Quantum Software SA,15.50,—,—,—,—,—,—
Quercus TFI SA,2.25,+1.35,2.25,2.25,2.25,450,1013
R22 SA,19.75,0.00,19.75,19.75,19.75,636,12561
Radpol SA,1.13,-2.17,1.20,1.12,1.20,17315,19877
Rafako SA,1.18,-0.17,1.19,1.17,1.21,490573,580814
Rafamet SA,11.00,—,—,—,—,—,—
Rainbow Tours SA,25.30,+0.40,25.30,24.90,25.50,1882,47641
Rank Progress SA,1.19,-0.83,1.21,1.10,1.38,464515,532224
Rawlplug SA,9.08,-3.81,9.38,8.80,9.38,5294,46935
Redan SA,0.27,-1.48,0.27,0.27,0.27,1100,293
Reinhold Europe AB,0.17,0.00,0.17,0.17,0.17,20,3
Reino Capital SA,1.70,+10.39,1.55,1.55,1.70,3545,5841
Relpol SA,5.85,-0.85,5.90,5.80,5.90,2197,12829
Remak-Energomontaż SA,9.00,—,—,—,—,—,—
Resbud SE,0.35,+4.17,0.35,0.35,0.35,10,4
Ronson Development SE,0.82,-2.94,0.88,0.82,0.88,39691,32865
Rubicon Partners SA,0.97,+0.62,0.97,0.92,0.97,8,8
Sadovaya Group SA,0.12,—,—,—,—,—,—
Sanok Rubber Company SA,21.00,-1.41,21.30,20.60,21.30,1015,21036
Santander Bank Polska SA,305.60,+2.34,300.60,300.00,305.60,52707,16033870
Sanwil SA,0.57,-0.87,0.57,0.57,0.57,9,5
Sare SA,4.60,0.00,4.60,4.60,4.60,500,2300
Satis Group SA w restrukturyzacji,1.32,—,—,—,—,—,—
Sco-Pak SA,0.08,0.00,0.08,0.08,0.08,6,0
Seco/Warwick SA,15.30,+2.00,15.30,15.30,15.30,20,306
Seko SA,8.90,-1.66,8.90,8.90,8.90,325,2893
Selena FM SA,11.00,+0.92,10.90,10.90,11.00,1884,20686
Selvita SA,60.60,+1.00,61.00,60.60,61.00,2031,123479
Serinus Energy Inc.,0.58,+3.57,0.59,0.55,0.61,2120011,1224125
Sescom SA,27.20,0.00,27.20,27.20,27.20,2,54
Setanta SA,3.69,+1.37,3.64,3.60,3.70,17091,62325
Sfinks SA,0.81,—,—,—,—,—,—
Silvano Group AS,9.66,-3.40,9.66,9.66,9.66,198,1913
Simple SA,6.45,0.00,6.45,6.45,6.45,2,13
Skarbiec Holding SA,17.40,-0.57,17.50,17.20,17.50,2930,50961
Skotan SA,1.14,+0.88,1.15,1.09,1.16,6471,7300
Skyline Investment SA,0.64,—,—,—,—,—,—
Sleepz AG,0.82,0.00,0.82,0.82,0.82,20,17
Soho Development SA,0.65,0.00,0.67,0.65,0.70,23945,16209
Solar Company SA,0.50,+4.17,0.48,0.48,0.50,13988,6932
Sonel SA,8.80,0.00,8.80,8.80,8.80,5,44
Sopharma AD,10.00,-4.76,10.00,10.00,10.00,27,270
Stalexport Autostrady SA,3.25,0.00,3.27,3.19,3.27,39534,127211
Stalprodukt SA,232.50,-0.21,233.00,232.00,233.50,10693,2491063
Stalprofil SA,7.20,+2.13,6.95,6.95,7.20,5400,38311
Starhedge SA,0.61,-3.17,0.66,0.61,0.66,5470,3495
Stelmet SA,6.80,-0.73,6.80,6.80,6.80,200,1360
Sunex SA,6.36,0.00,6.32,6.22,6.36,124,784
Suwary SA,10.90,-8.40,11.30,10.90,11.30,200,2182
Swissmed Centrum Zdrowia SA,2.25,+3.21,2.18,2.16,2.25,9161,20077
Sygnity SA,2.50,0.00,2.43,2.42,2.54,31165,76518
Synektik SA,14.40,0.00,14.40,14.10,14.40,1198,16999
T-Bull SA,22.20,-1.77,22.60,22.00,22.60,1515,33569
Talanx AG,158.80,+15.91,140.50,140.50,158.80,20,2992
Talex SA,14.40,0.00,14.40,14.40,14.40,22,317
Tarczyński SA,15.20,—,—,—,—,—,—
Tatry Mountain Resorts a.s.,146.00,—,—,—,—,—,—
Tauron Polska Energia SA,1.61,+0.69,1.61,1.60,1.63,3436995,5561406
Ten Square Games SA,137.80,0.00,136.40,136.40,138.80,1715,236212
Termo-Rex SA,0.79,-1.00,0.79,0.79,0.79,16,13
Tesgas SA,2.48,0.00,2.48,2.48,2.48,2,5
TIM SA,9.06,+1.80,8.98,8.60,9.08,9191,81892
Torpol SA,7.38,-0.81,7.56,7.38,7.56,5976,44402
Tower Investments SA,22.70,+0.89,21.80,21.80,22.70,21,459
Toya SA,4.46,-4.29,4.64,4.44,4.66,64785,292096
Trakcja PRKiI SA,2.04,-7.69,2.21,2.01,2.38,520444,1140623
Trans Polonia SA,3.12,-0.48,3.13,2.97,3.13,3010,9241
Triton Development SA,1.80,-1.10,1.82,1.80,1.82,25251,45499
TXM SA w restrukturyzacji,0.10,0.00,0.10,0.10,0.10,6,1
Ulma SA,50.00,0.00,52.50,50.00,52.50,463,23196
Ultimate Games SA,19.20,+2.78,18.80,18.64,19.30,21510,408335
Unibep SA,5.96,-0.33,6.08,5.96,6.08,6052,36145
UniCredit SpA,47.80,-0.52,48.50,45.06,48.50,645,30571
Unima 2000 SA,2.34,+0.86,2.38,2.34,2.38,170,399
Unimot SA,23.30,-3.32,24.50,22.50,24.60,20350,481476
