Nazwa,Kurs(PLN),Zmiana(%),Otwarcie,Min,Max,Obrot(szt),Obrot(PLN)
11 bit studios SA,408.00,-0.49,411.00,408.00,413.00,1578,648026
4Fun Media SA,6.78,+1.19,6.78,6.52,6.78,1026,6743
AB SA,18.50,0.00,18.60,18.50,18.60,50,929
AC SA,39.00,-1.52,39.20,39.00,40.40,11395,444848
Action SA w restrukturyzacji,3.20,+0.95,3.19,3.19,3.28,5366,17231
Adiuvo Investments SA,7.20,+13.92,6.40,6.40,7.20,17708,124513
Agora SA,10.05,0.00,10.00,9.82,10.05,1708,16926
Agroton Plc,3.05,+3.37,2.95,2.95,3.10,5388,16033
Ailleron SA,7.40,+0.27,7.30,7.30,7.40,4301,31718
Airway Medix SA,0.67,+5.31,0.64,0.64,0.67,24570,16000
Alior Bank SA,41.00,-0.73,41.90,40.80,41.90,692255,28579164
Alta SA,2.40,+0.84,2.40,2.40,2.40,2,5
Altus TFI SA,1.99,-1.49,2.00,1.90,2.00,47096,92585
Alumetal SA,36.20,+1.69,35.60,35.60,36.20,1345,48150
Ambra SA,17.30,0.00,17.30,17.05,17.30,2481,42687
Amica SA,116.00,0.00,118.40,115.80,118.40,4803,558280
AmRest Holdings SE,43.55,+0.35,43.40,42.65,43.55,83548,3613718
Apator SA,22.30,-2.19,22.70,21.50,22.70,34016,750484
Aplisens SA,10.40,0.00,10.40,10.40,10.40,2,21
APS Energia SA,2.00,-0.25,2.00,2.00,2.00,26,52
Archicom SA,13.20,-1.49,12.90,12.90,13.40,540,7100
Arctic Paper SA,3.12,+2.30,3.06,3.00,3.12,12124,37115
Arcus SA,2.46,+6.96,2.32,2.32,2.52,5894,13916
Arteria SA,5.75,+5.50,5.45,5.45,5.75,26618,145829
Artifex Mundi SA,3.45,-1.43,3.45,3.45,3.50,1385,4823
ASBISc Enterprises PLC,2.43,+0.41,2.40,2.38,2.43,41191,98616
ASM Group SA,3.30,—,—,—,—,—,—
Asseco BS SA,27.60,0.00,27.60,27.40,27.60,502,13808
Asseco Poland SA,52.80,-4.17,55.10,52.80,56.60,63978,3475353
Asseco South Eastern Europe SA,19.80,0.00,19.80,19.80,19.80,1687,33403
Astarta Holding NV,22.90,-0.43,23.10,22.90,23.30,500,11470
Atal SA,36.90,+0.27,36.70,36.00,36.90,20700,759602
